aluno,vol_w00,vol_w01,vol_w02,vol_w03,vol_w04,vol_w05,vol_w06,vol_w07,vol_w08,vol_w09,vol_w10,vol_w11,vol_w12,vol_w13,vol_w14,vol_w15,vol_w16,vol_w17,vol_w18,vol_w19,vol_w20,vol_w21,vol_w22,vol_w23,vol_w24,vol_w25,vol_w26,vol_w27,vol_w28,vol_w29
AAA_2013J_127582,22,106,120,117,44,46,51,3,22,0,49,73,89,11,28,9,128,50,48,91,4,6,21,80,60,0,11,0,0,0
AAA_2013J_132976,60,39,0,14,0,0,0,0,0,0,0,51,43,2,2,0,44,15,43,5,3,0,21,68,36,0,17,13,0,0
AAA_2013J_134143,313,34,145,95,82,66,13,48,152,127,83,42,58,57,88,145,28,20,81,170,428,50,15,33,72,85,19,6,0,3
AAA_2013J_137873,151,289,207,320,286,399,115,227,156,108,189,172,92,126,336,319,132,80,149,48,285,98,144,183,214,221,199,42,0,0
AAA_2013J_1401935,68,45,0,5,10,15,15,4,2,0,5,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_1402638,118,70,80,76,37,3,0,39,7,3,37,23,5,45,16,4,14,2,0,54,73,7,4,54,5,17,8,7,0,0
AAA_2013J_141355,152,208,114,52,15,145,58,21,0,0,35,39,138,91,23,40,15,26,61,110,18,17,11,129,98,25,56,76,2,0
AAA_2013J_1414443,159,218,266,158,10,25,3,142,43,121,1,58,5,179,45,63,19,0,96,0,60,0,180,13,0,0,0,0,0,0
AAA_2013J_142326,27,190,44,64,43,18,19,112,53,72,76,10,37,63,162,37,107,58,74,127,39,27,38,15,94,205,157,11,0,0
AAA_2013J_144801,269,333,358,116,211,128,160,254,101,61,76,225,91,177,152,44,161,152,102,294,134,157,304,107,255,395,349,146,163,15
AAA_2013J_145130,46,97,38,2,19,3,32,0,0,0,0,0,1,14,0,1,0,22,5,38,0,0,1,33,36,0,8,16,0,2
AAA_2013J_146188,10,35,37,0,8,57,70,0,0,0,0,58,95,37,0,0,0,0,0,27,21,0,0,28,0,0,0,62,2,0
AAA_2013J_1465690,53,193,262,176,223,159,83,55,12,56,91,65,83,120,175,5,120,121,94,60,75,144,204,153,225,150,98,21,0,18
AAA_2013J_1472925,0,0,67,171,30,74,12,0,0,0,2,18,23,127,0,6,7,25,181,3,46,0,21,63,1,0,35,27,0,0
AAA_2013J_147756,114,159,20,14,7,23,0,7,3,9,7,2,22,32,5,16,5,5,10,33,23,3,0,2,1,0,0,0,0,0
AAA_2013J_1488959,76,385,180,322,146,38,131,80,54,45,53,139,75,2,8,59,52,323,293,85,145,84,77,141,62,188,80,6,0,0
AAA_2013J_151358,5,32,0,0,0,3,0,0,0,0,0,22,4,0,0,3,0,87,3,0,0,0,4,84,0,0,22,1,0,0
AAA_2013J_1518989,496,211,344,83,228,190,192,40,45,100,0,75,179,204,199,175,17,50,237,212,93,50,43,211,233,40,84,70,0,1
AAA_2013J_155550,0,181,185,16,38,56,9,7,0,0,53,84,135,53,14,6,3,16,25,25,0,0,43,38,9,22,305,113,0,0
AAA_2013J_155854,332,156,183,159,184,160,58,49,37,7,115,164,85,76,194,35,167,140,17,100,196,31,157,53,136,400,146,123,28,21
AAA_2013J_157568,60,213,27,20,71,64,45,35,0,0,33,87,63,18,3,53,7,31,104,99,100,9,68,61,1,1,68,0,0,0
AAA_2013J_1618738,263,1,11,0,0,87,91,0,0,96,0,0,0,53,0,0,0,46,0,0,0,39,4,1,9,0,0,22,0,0
AAA_2013J_1620151,188,254,111,1,19,88,5,12,1,0,1,7,17,106,70,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_1626710,304,432,261,231,218,171,190,163,204,152,242,197,107,125,291,229,165,226,72,260,136,128,115,68,274,40,196,66,18,5
AAA_2013J_1640609,263,462,144,191,134,153,158,110,268,84,221,125,204,202,152,157,154,144,137,143,79,36,108,159,193,130,168,84,6,2
AAA_2013J_164259,15,40,23,1,3,27,3,0,4,0,3,31,67,3,1,0,17,0,45,0,8,38,22,31,24,6,37,5,0,6
AAA_2013J_167906,107,80,76,53,23,97,66,38,6,1,72,50,45,82,0,7,18,56,72,83,1,2,10,113,75,30,84,25,2,0
AAA_2013J_168936,40,128,81,26,0,12,30,1,0,28,26,1,22,14,4,1,1,3,116,18,5,0,0,29,13,1,100,36,9,0
AAA_2013J_172112,67,126,49,25,10,7,88,77,8,0,22,32,114,42,6,43,14,95,71,57,42,34,131,123,53,52,422,79,0,1
AAA_2013J_172797,0,70,35,20,4,33,0,1,0,0,38,109,15,128,4,43,135,57,58,60,28,113,15,71,410,90,21,20,62,6
AAA_2013J_1729319,20,248,142,136,22,154,22,8,1,8,70,31,202,53,64,102,43,133,141,138,38,42,85,165,169,46,145,155,0,0
AAA_2013J_1746134,215,80,9,34,52,369,0,20,0,162,71,45,0,98,63,36,29,23,0,0,97,36,30,0,41,99,95,0,0,0
AAA_2013J_174782,407,333,457,154,144,235,208,155,206,41,227,132,172,259,198,140,203,222,172,170,306,123,183,146,262,113,489,98,13,12
AAA_2013J_175392,332,374,200,142,100,239,102,110,128,70,164,164,219,183,138,117,103,84,114,91,71,55,82,157,157,92,80,82,6,5
AAA_2013J_175932,63,113,146,113,127,357,122,35,50,57,2,0,13,4,69,108,40,71,48,21,3,8,42,39,17,2,24,22,16,0
AAA_2013J_175991,1,91,0,3,0,4,0,0,0,0,0,0,10,1,0,0,0,3,3,0,0,0,0,0,0,0,5,15,0,0
AAA_2013J_1765788,489,491,610,178,249,134,152,315,205,206,132,114,67,264,185,190,196,83,101,209,136,97,266,158,388,164,213,98,219,198
AAA_2013J_1801229,121,258,50,31,35,84,52,0,0,0,1,1,141,14,0,0,3,29,175,27,43,37,62,98,22,32,77,26,0,0
AAA_2013J_1801641,81,14,28,20,40,23,0,21,7,21,9,0,3,1,22,33,20,20,0,0,21,0,0,0,0,9,1,0,0,0
AAA_2013J_180753,200,140,146,68,72,46,40,76,15,51,36,37,39,88,77,58,23,87,68,57,60,37,21,54,64,74,90,69,5,1
AAA_2013J_183096,169,168,80,118,22,84,67,18,40,16,5,108,23,15,41,7,21,3,209,4,6,0,162,119,106,35,63,10,0,0
AAA_2013J_183947,49,101,75,29,31,25,48,0,0,0,11,10,58,33,13,0,15,10,36,49,5,0,45,33,17,9,67,174,14,0
AAA_2013J_184271,132,109,25,86,74,82,49,34,36,0,39,44,27,41,54,24,58,27,16,47,73,57,13,39,6,0,13,8,0,1
AAA_2013J_1847830,255,330,321,171,122,316,58,102,76,221,93,145,335,188,180,150,194,263,271,206,172,189,179,309,330,230,513,416,39,9
AAA_2013J_185439,36,39,122,3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_1860318,152,21,211,170,75,232,116,170,277,115,311,51,194,470,240,226,325,223,175,244,290,211,169,190,290,143,195,212,13,7
AAA_2013J_186149,175,188,39,29,0,26,75,3,328,6,6,3,76,7,122,121,26,3,1,208,48,17,0,47,20,3,0,76,15,19
AAA_2013J_187100,576,758,340,384,313,259,242,177,194,22,134,190,298,266,307,276,240,256,278,537,268,19,208,227,388,389,170,63,10,4
AAA_2013J_1889511,96,178,92,43,176,120,31,0,0,22,38,54,23,50,4,0,17,31,165,6,44,39,71,123,55,141,44,24,0,0
AAA_2013J_1889577,147,129,42,2,25,76,16,9,0,20,0,27,18,12,13,57,32,25,4,44,45,38,17,51,41,17,11,5,0,4
AAA_2013J_1894188,196,184,80,93,57,42,52,106,40,50,41,62,82,109,103,90,95,1415,656,336,16,0,0,32,22,21,0,15,2,5
AAA_2013J_189879,122,114,235,8,1,60,75,101,0,0,0,37,27,86,54,51,36,12,15,99,60,14,0,37,40,100,127,28,0,0
AAA_2013J_192183,151,247,126,71,79,125,105,68,58,15,101,41,109,50,72,77,95,342,239,97,124,148,66,46,108,148,139,24,0,0
AAA_2013J_1938355,143,200,128,70,34,33,49,33,40,9,34,112,60,64,39,74,56,15,19,48,117,55,28,14,44,36,26,128,24,12
AAA_2013J_1942396,7,96,35,27,21,23,15,8,0,0,0,4,0,11,0,0,4,1,15,0,17,1,8,32,6,17,15,6,0,0
AAA_2013J_1976139,0,21,9,16,56,18,33,43,0,31,8,46,4,77,62,0,0,0,2,110,82,121,0,82,0,103,78,1,0,2
AAA_2013J_200860,115,60,22,17,27,11,14,3,9,9,5,3,8,13,26,0,12,7,0,12,2,3,12,15,21,21,26,17,1,0
AAA_2013J_2011876,109,106,75,0,15,39,24,10,2,0,50,3,89,48,11,34,56,37,122,64,45,25,81,49,50,117,94,6,0,1
AAA_2013J_2012966,122,128,46,16,9,0,0,0,6,3,10,2,9,72,3,4,22,1,4,1,0,0,3,1,0,13,5,0,0,3
AAA_2013J_2051699,128,206,183,140,141,83,135,24,0,11,7,20,86,14,0,2,3,0,158,164,7,0,1,63,12,1,27,68,0,3
AAA_2013J_205350,180,123,110,33,156,56,43,7,10,25,31,49,43,28,17,1,87,37,29,16,91,16,12,9,75,62,33,33,0,4
AAA_2013J_205719,17,84,120,2,0,5,32,0,0,0,0,0,10,13,9,0,1,2,1,4,3,6,5,2,4,0,0,0,0,0
AAA_2013J_2062879,189,106,91,64,115,163,47,27,73,35,82,87,105,38,55,32,144,98,50,53,120,18,74,89,64,88,68,11,0,0
AAA_2013J_2080474,67,108,25,84,1,62,0,65,20,50,43,19,45,29,0,48,85,24,7,75,0,18,12,72,37,1,33,69,3,0
AAA_2013J_2083877,67,104,79,56,9,32,4,26,1,0,1,7,20,36,10,1,0,33,36,0,3,3,17,16,0,1,27,4,0,0
AAA_2013J_2084066,75,346,391,109,115,123,114,16,20,1,0,3,87,33,44,4,9,24,67,109,69,40,0,42,1,0,0,0,0,0
AAA_2013J_2104505,197,87,41,47,36,40,26,0,2,35,0,13,3,8,2,0,0,31,45,2,0,1,26,24,4,25,0,5,0,0
AAA_2013J_2122180,258,83,230,107,113,175,221,71,0,17,89,193,225,433,46,269,110,235,143,247,171,140,116,29,179,105,249,38,17,3
AAA_2013J_2143752,171,129,91,135,57,121,0,26,24,0,55,126,77,3,20,16,65,117,19,0,142,36,54,109,34,0,139,0,0,0
AAA_2013J_2146792,94,141,156,76,97,117,44,52,84,30,81,27,33,56,86,50,111,76,99,65,118,66,71,20,49,14,47,34,242,1
AAA_2013J_2153153,438,238,147,160,59,156,64,29,147,125,20,131,137,56,31,44,9,238,115,42,317,83,79,156,153,112,71,28,0,0
AAA_2013J_2155014,108,271,62,161,0,10,9,11,65,33,76,3,0,35,8,1,20,0,45,94,3,83,33,22,11,108,79,0,0,0
AAA_2013J_2164705,14,142,0,4,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_2171627,110,40,37,53,99,79,44,73,26,26,35,18,22,41,42,58,48,47,13,88,18,27,44,63,3,17,15,35,9,0
AAA_2013J_2182846,229,366,154,63,121,186,105,152,127,61,119,127,108,130,157,82,122,103,196,148,114,19,128,320,156,59,110,105,12,14
AAA_2013J_2194100,343,148,1,24,17,135,13,0,0,6,1,64,71,15,21,20,38,129,52,3,13,2,13,119,69,0,34,24,0,0
AAA_2013J_2197016,27,113,61,90,105,14,51,10,47,0,77,115,27,44,35,58,58,42,17,110,63,33,17,28,0,0,20,0,0,0
AAA_2013J_2208424,104,118,39,69,111,25,68,4,0,63,10,19,11,1,11,62,0,45,10,3,6,34,55,28,3,30,16,0,0,8
AAA_2013J_2229865,167,354,187,80,137,50,24,50,45,53,84,36,106,76,86,58,120,68,128,121,140,137,228,148,285,105,65,0,0,0
AAA_2013J_2268379,168,113,153,37,104,127,61,51,19,13,0,43,46,12,15,60,3,47,3,42,12,36,47,78,109,108,64,42,0,12
AAA_2013J_227499,192,137,250,126,124,37,95,66,112,25,67,20,48,288,144,268,60,17,196,129,35,25,14,0,46,13,58,5,0,0
AAA_2013J_227517,140,176,119,53,66,97,17,0,50,21,4,29,125,0,0,18,0,18,50,4,11,3,0,38,7,4,0,3,1,11
AAA_2013J_2278464,36,75,1,0,12,0,6,2,0,0,1,0,18,0,6,10,0,4,8,1,0,1,13,8,0,17,5,0,0,0
AAA_2013J_228082,11,45,14,3,3,19,0,0,0,0,4,23,7,0,3,0,0,6,8,3,0,3,22,8,15,10,3,9,0,0
AAA_2013J_228222,26,25,18,0,4,9,111,0,30,0,6,33,10,0,10,3,0,27,24,3,54,1,19,0,5,0,10,17,0,0
AAA_2013J_229179,37,88,26,17,6,60,63,1,1,1,1,1,57,0,1,1,2,3,108,1,1,1,23,20,0,22,3,4,0,0
AAA_2013J_229361,34,68,38,54,26,114,3,27,7,24,16,12,56,34,90,43,11,27,181,32,38,22,3,169,7,26,16,2,0,6
AAA_2013J_2293923,16,32,10,0,0,16,0,0,0,0,0,14,0,13,0,0,3,0,1,0,0,0,0,34,0,5,1,13,0,0
AAA_2013J_231554,59,118,174,12,166,240,54,0,0,48,34,14,134,5,19,0,4,101,202,0,10,100,34,57,18,45,0,28,0,0
AAA_2013J_2329342,110,99,33,0,6,13,7,14,0,0,0,43,6,11,0,0,0,56,46,0,7,0,59,37,15,0,3,0,0,0
AAA_2013J_2339528,0,30,202,0,7,118,12,0,0,0,0,5,69,0,0,0,0,0,22,12,0,0,3,53,1,53,3,0,1,0
AAA_2013J_2342426,173,126,125,115,26,37,87,88,1,34,14,57,5,112,34,100,77,0,1,7,192,39,76,46,56,77,45,2,0,0
AAA_2013J_2344901,5,56,46,18,0,40,16,0,0,0,8,9,37,0,18,24,30,30,73,1,0,0,0,5,0,0,0,0,0,0
AAA_2013J_2358056,45,97,58,35,63,33,9,28,21,16,80,63,87,12,35,41,50,40,40,5,89,20,1,43,54,21,251,65,0,0
AAA_2013J_236284,0,6,148,5,1,26,4,1,0,5,0,9,21,25,1,2,0,15,53,0,7,0,4,36,35,320,0,8,0,0
AAA_2013J_2364471,402,462,438,481,547,248,255,212,181,133,136,170,124,152,320,245,170,160,110,116,192,149,231,205,173,243,213,129,11,11
AAA_2013J_2367155,60,122,62,94,33,128,51,15,13,3,39,171,70,51,71,11,66,304,70,378,51,19,78,54,8,8,49,0,6,5
AAA_2013J_2369266,224,319,54,102,75,13,0,12,79,129,73,85,99,34,64,108,23,80,21,32,108,25,0,12,5,59,172,1,0,0
AAA_2013J_2376496,107,107,54,12,57,15,35,28,0,19,7,0,0,75,3,35,12,7,1,11,7,17,17,34,20,10,0,3,0,0
AAA_2013J_238007,103,150,76,59,74,8,33,31,44,11,73,96,20,40,96,62,59,58,90,92,85,79,22,34,202,31,39,12,0,0
AAA_2013J_240712,0,12,36,6,0,36,11,0,0,0,0,0,56,4,0,0,3,3,87,0,4,0,0,14,37,0,0,0,0,0
AAA_2013J_240884,54,75,30,1,4,52,0,2,0,4,2,13,30,2,0,1,3,3,36,0,16,36,20,0,25,13,0,3,0,0
AAA_2013J_2411661,94,117,40,0,12,67,0,0,0,0,0,0,0,58,0,0,0,0,57,0,0,0,0,51,3,0,0,0,0,0
AAA_2013J_2412002,178,367,227,177,259,115,29,74,125,51,96,85,170,15,55,62,71,64,45,93,53,44,27,35,121,61,24,77,1,6
AAA_2013J_2412967,79,188,60,82,157,110,62,27,52,24,81,134,106,69,52,45,87,111,73,51,28,35,140,187,92,72,77,8,1,1
AAA_2013J_241649,178,102,18,139,78,70,36,82,24,54,33,78,45,26,84,66,22,62,112,7,13,61,46,27,45,43,43,7,1,2
AAA_2013J_241729,68,100,87,0,1,59,42,114,26,15,41,91,12,20,84,51,37,79,110,46,61,104,88,70,8,97,217,7,0,4
AAA_2013J_242793,97,9,53,15,0,10,0,1,0,2,13,0,12,119,11,3,9,6,29,30,35,53,2,48,34,4,5,2,0,4
AAA_2013J_2437837,141,302,62,84,126,166,0,50,47,0,28,77,116,35,47,4,54,53,48,58,37,25,24,360,145,83,251,48,12,11
AAA_2013J_2449878,31,36,42,0,4,61,33,0,0,0,28,0,0,85,0,0,0,2,24,112,34,0,0,46,1,8,34,30,0,1
AAA_2013J_2456480,3,57,6,0,1,18,8,1,0,0,4,0,1,22,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_2457256,154,107,98,179,154,103,126,16,24,0,26,112,36,12,3,6,50,46,27,0,6,0,75,16,9,51,72,17,1,0
AAA_2013J_2458355,107,75,240,118,194,163,132,129,90,71,44,47,61,121,78,76,100,103,116,145,127,61,68,158,315,383,362,150,4,8
AAA_2013J_2460080,260,333,27,109,199,143,44,12,18,28,80,109,85,72,14,187,57,63,382,210,207,194,43,60,99,13,105,54,3,1
AAA_2013J_2461190,78,216,104,122,91,59,35,18,28,45,21,62,61,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_246834,88,122,71,47,9,65,8,0,0,0,0,4,142,28,14,16,16,40,86,4,0,0,13,90,23,4,143,28,0,1
AAA_2013J_2469673,15,0,64,0,7,85,3,6,0,0,0,10,166,4,11,0,0,8,0,21,11,3,8,56,0,16,0,5,0,0
AAA_2013J_2479954,0,11,19,23,3,14,45,1,1,0,4,1,12,7,0,21,4,0,16,23,0,1,6,0,0,1,0,46,2,0
AAA_2013J_2481901,385,230,103,78,76,39,7,29,64,95,44,59,5,51,23,45,0,0,77,45,59,10,19,12,2,53,28,8,0,1
AAA_2013J_248270,152,147,150,136,133,39,13,24,33,74,80,29,15,44,42,80,40,44,32,55,33,39,19,36,41,99,42,18,19,10
AAA_2013J_2482700,168,280,30,46,76,126,47,6,38,18,162,68,120,18,3,60,0,21,36,27,0,0,63,47,0,1,51,14,0,0
AAA_2013J_2486127,50,125,125,31,111,102,87,55,61,0,56,62,65,97,57,34,1,6,41,37,0,72,16,46,122,63,33,66,0,0
AAA_2013J_2498700,26,26,250,24,29,117,29,86,44,21,0,14,73,91,77,8,91,90,212,159,18,118,133,29,392,309,242,95,0,1
AAA_2013J_2516503,126,68,104,113,64,44,82,66,120,27,88,83,36,94,92,210,91,89,168,196,141,126,92,89,196,73,53,142,66,4
AAA_2013J_2518069,120,209,65,50,89,151,12,29,30,7,22,84,37,0,11,36,59,54,58,71,29,24,28,11,70,95,61,29,0,0
AAA_2013J_2521459,88,75,85,25,2,4,109,0,1,4,1,0,8,32,2,0,1,4,0,6,125,32,47,160,66,30,69,78,1,10
AAA_2013J_2523736,35,39,60,15,51,11,27,5,0,0,0,5,28,21,8,0,0,8,0,32,11,0,5,13,7,14,18,9,7,0
AAA_2013J_2529279,122,118,232,10,14,82,2,17,46,49,0,10,9,1,0,70,6,0,44,2,73,16,17,4,0,10,79,1,0,1
AAA_2013J_2532302,107,33,0,2,63,15,0,56,38,0,8,6,9,5,2,16,57,6,40,3,32,65,71,81,11,10,425,7,0,6
AAA_2013J_2536991,13,67,21,77,30,36,108,13,10,24,3,0,1,81,118,72,61,27,26,39,70,25,16,3,12,39,21,6,0,0
AAA_2013J_2550279,83,269,249,98,266,62,92,82,91,17,69,61,69,109,60,116,123,78,41,84,80,41,44,111,110,65,24,59,0,0
AAA_2013J_2551220,10,117,28,34,17,26,39,14,23,0,39,65,7,22,52,25,47,49,23,60,4,42,65,68,31,238,51,15,0,3
AAA_2013J_2555340,338,570,220,188,149,72,143,153,166,122,86,49,101,123,76,175,122,101,260,95,67,49,91,87,190,81,248,71,13,1
AAA_2013J_255548,231,316,177,105,158,126,63,26,52,61,21,44,135,47,22,90,27,37,63,61,43,59,16,54,63,46,71,2,2,3
AAA_2013J_2557283,468,403,245,199,269,227,206,272,183,183,284,161,195,488,238,329,313,141,191,249,226,175,115,305,313,222,87,43,7,1
AAA_2013J_2559575,75,41,39,25,42,27,8,7,15,15,17,0,0,0,5,0,7,64,0,0,26,0,44,0,6,18,0,14,0,1
AAA_2013J_2562034,0,4,91,0,0,0,0,0,0,0,0,0,0,39,0,0,4,5,42,0,2,0,0,14,34,0,3,0,0,0
AAA_2013J_2566163,71,100,200,8,17,69,1,13,36,0,51,26,56,61,147,12,43,26,103,12,14,45,9,166,124,146,13,2,0,2
AAA_2013J_2566592,25,78,32,78,39,28,12,23,27,7,69,26,52,9,39,69,76,59,17,36,96,80,69,62,9,29,96,0,0,0
AAA_2013J_256815,8,0,1,127,14,145,39,8,8,30,19,40,14,34,29,97,35,22,71,80,30,5,4,22,134,233,20,32,43,12
AAA_2013J_2574528,30,79,105,1,17,92,67,1,6,0,115,27,19,1,2,0,24,15,14,89,16,0,116,16,37,10,25,22,0,2
AAA_2013J_2574583,78,197,113,92,80,35,24,69,51,73,117,36,140,6,85,101,113,13,32,77,102,49,29,22,5,3,0,12,0,0
AAA_2013J_2578995,118,67,23,43,55,64,24,37,20,15,29,49,116,53,35,58,38,26,35,27,5,11,75,19,45,57,15,7,1,4
AAA_2013J_258392,29,154,15,0,23,3,41,0,0,0,26,6,123,3,0,0,6,38,81,57,6,30,4,90,8,4,46,0,0,0
AAA_2013J_2586560,345,182,205,184,121,110,23,24,72,113,185,44,58,19,74,110,124,79,44,44,73,39,73,48,27,98,119,27,6,7
AAA_2013J_258894,147,129,321,102,93,161,121,62,221,47,262,315,141,387,317,283,203,196,336,229,69,87,48,100,131,145,129,0,1,0
AAA_2013J_2594139,204,160,69,131,18,78,81,8,0,51,0,5,28,116,103,27,39,84,0,108,37,294,14,5,5,2,0,0,0,0
AAA_2013J_2598871,141,33,101,53,55,20,42,49,34,28,55,56,66,93,28,42,111,38,55,102,97,40,21,276,62,66,17,6,0,2
AAA_2013J_2599352,5,98,156,48,0,37,50,2,0,0,15,34,55,63,24,9,0,45,34,149,0,0,20,98,31,11,140,3,0,0
AAA_2013J_2600688,0,75,90,1,16,30,53,0,8,0,0,8,58,0,2,0,0,0,62,3,0,0,0,94,9,1,4,0,0,2
AAA_2013J_2606098,8,56,6,7,0,27,1,0,0,0,7,0,33,8,0,5,5,0,65,11,0,4,3,100,54,1,19,18,0,0
AAA_2013J_2613116,59,59,52,27,36,109,1,77,10,28,37,65,59,22,0,5,2,128,70,16,52,28,23,40,0,9,1,1,0,0
AAA_2013J_2617002,99,7,90,32,0,25,15,0,0,16,26,42,64,75,24,0,44,23,56,0,7,552,8,68,30,10,77,19,0,1
AAA_2013J_262011,183,122,8,25,32,67,0,4,3,0,50,64,30,3,0,19,112,3,0,152,18,64,25,3,4,0,20,8,0,0
AAA_2013J_2620584,2,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_262934,254,238,137,73,223,153,18,24,0,61,68,34,138,26,72,43,40,6,69,13,10,34,97,46,39,33,161,31,1,0
AAA_2013J_2639449,22,112,30,9,6,106,14,6,8,0,0,18,0,57,0,0,10,0,68,0,0,29,44,43,120,41,0,0,10,0
AAA_2013J_2639540,86,96,81,74,74,118,85,61,3,52,103,60,47,76,85,67,74,18,46,57,56,13,30,64,185,16,150,16,0,0
AAA_2013J_2639641,99,143,129,83,116,97,98,31,56,11,18,18,103,23,34,73,55,32,62,25,25,17,71,37,85,187,81,87,15,10
AAA_2013J_2641155,334,370,268,187,277,205,152,191,74,26,81,82,81,84,124,109,128,93,54,122,141,68,100,163,44,20,95,16,0,9
AAA_2013J_2643002,194,135,161,13,140,47,108,6,9,15,21,21,4,17,41,41,64,43,189,39,35,68,130,90,152,34,83,220,6,0
AAA_2013J_2645733,81,75,93,81,47,37,43,0,34,6,62,31,42,77,44,51,25,67,36,25,0,126,4,143,96,27,45,53,6,8
AAA_2013J_2649826,89,255,126,125,193,110,159,170,224,77,401,202,162,262,244,206,98,130,222,216,240,81,92,231,229,638,225,136,4,6
AAA_2013J_2650282,83,82,48,11,14,18,33,3,2,2,0,44,27,46,17,17,0,13,74,0,0,2,3,44,25,0,10,8,9,0
AAA_2013J_2664024,0,86,41,26,15,25,8,76,10,21,26,24,6,28,9,46,55,29,41,14,63,71,10,30,11,0,6,21,0,0
AAA_2013J_2666246,51,22,76,1,2,44,0,0,1,1,0,5,44,4,0,1,0,3,63,1,3,0,12,111,0,56,53,8,0,0
AAA_2013J_2669816,5,54,0,0,0,74,0,0,0,0,0,0,25,0,0,2,3,0,48,13,0,0,6,28,4,0,7,0,0,0
AAA_2013J_2671132,234,119,187,72,97,101,68,40,62,100,143,155,83,94,74,144,157,130,118,254,466,285,207,0,5,58,46,5,0,0
AAA_2013J_2676809,37,44,0,33,8,43,0,24,27,0,13,21,12,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA_2013J_2678643,94,174,124,44,51,107,33,27,8,0,62,25,74,270,18,33,58,99,158,114,179,165,97,38,33,18,6,1,0,0
AAA_2013J_268073,251,272,165,116,163,241,87,40,0,34,125,34,40,53,37,62,198,298,172,79,93,75,87,106,43,133,74,86,0,1
AAA_2013J_2685865,122,237,79,104,89,36,52,37,47,0,60,106,36,49,86,66,127,102,112,73,178,191,136,78,31,98,298,41,4,1
