aluno,total_cliques,media_semanal,semanas_ativas,semanas_mortas,inclinacao,centro_massa,std_forma,pico_posicao,frac_segunda_metade,cliques_pre_curso,final_result,faixa_volume
AAA_2013J_132976,476,15.866666666666667,17,13,-0.00011123470522803134,0.49137931034482757,0.043875999984994155,0.7931034482758621,0.5567226890756303,44,Pass,baixo
AAA_2013J_134143,2558,85.26666666666667,29,1,-0.0010686880827537502,0.41717667358658445,0.035280747349519415,0.6896551724137931,0.4515246286161063,174,Distinction,alto
AAA_2013J_137873,5287,176.23333333333332,28,2,-0.0010248236224054096,0.4205761692635809,0.018764407073462004,0.1724137931034483,0.39984868545488944,241,Pass,alto
AAA_2013J_1401935,183,6.1,11,19,-0.005182443151771549,0.09836065573770492,0.0790790501515584,0.0,0.0,57,Fail,baixo
AAA_2013J_1402638,808,26.933333333333334,26,4,-0.0022158834348395906,0.32826903379993166,0.0379904579703458,0.0,0.3081683168316832,102,Pass,medio
AAA_2013J_141355,1775,59.166666666666664,27,3,-0.0012504660890817645,0.4030888780961632,0.03043369064587058,0.034482758620689655,0.38535211267605624,48,Pass,alto
AAA_2013J_1414443,1864,62.13333333333333,21,9,-0.002647911126812338,0.29478688767204386,0.0412389865312277,0.06896551724137931,0.23122317596566522,43,Fail,alto
AAA_2013J_142326,1979,65.96666666666667,28,2,-6.891043386031653e-05,0.4946594413758255,0.027704237760097904,0.8620689655172413,0.4997473471450227,142,Pass,alto
AAA_2013J_144801,5490,183.0,30,0,-0.00012116275724291932,0.49060988631367375,0.017893026755062977,0.8620689655172413,0.5060109289617486,155,Pass,alto
AAA_2013J_145130,414,13.8,19,11,-0.001937740807015847,0.3498250874562719,0.051267701035251925,0.034482758620689655,0.391304347826087,38,Pass,baixo
AAA_2013J_146188,547,18.233333333333334,14,16,-0.0012359863590054364,0.4042110571770788,0.04778138141600587,0.41379310344827586,0.25594149908592323,50,Fail,baixo
AAA_2013J_1465690,3294,109.8,29,1,-0.000609866052343122,0.45273538094340815,0.021250961342893775,0.06896551724137931,0.4517304189435337,166,Pass,alto
AAA_2013J_1472925,939,31.3,20,10,-0.0008650008706869893,0.4329624325217583,0.05137136315916198,0.6206896551724138,0.4419595314164004,0,Fail,medio
AAA_2013J_147756,522,17.4,23,7,-0.003736804197085736,0.21039767472585544,0.0646166812249782,0.034482758620689655,0.18773946360153254,89,Fail,baixo
AAA_2013J_1488959,3329,110.96666666666667,28,2,-0.0011196980991863398,0.41322339731305874,0.030182144743438468,0.034482758620689655,0.4791228597176329,164,Pass,alto
AAA_2013J_151358,270,9.0,12,18,0.0010200634449800189,0.5790549169859516,0.08078263722144606,0.5862068965517241,0.7555555555555556,0,Pass,baixo
AAA_2013J_1518989,4102,136.73333333333332,28,2,-0.0015099934972983141,0.3829755039593806,0.0271549698529624,0.0,0.3695758166747927,100,Pass,alto
AAA_2013J_155550,1436,47.86666666666667,23,7,-0.0002562426217927073,0.48014119681106515,0.048499417928797396,0.896551724137931,0.4213091922005572,93,Pass,medio
AAA_2013J_155854,3709,123.63333333333334,30,0,-0.0004458385354327069,0.4654475135039651,0.02382060419246145,0.8620689655172413,0.4718252898355351,294,Pass,alto
AAA_2013J_157568,1341,44.7,25,5,-0.0011903191797332194,0.40775026357067545,0.03417019310802487,0.034482758620689655,0.44891871737509315,64,Pass,medio
AAA_2013J_1618738,723,24.1,13,17,-0.0033259638417974784,0.2422378022606953,0.07317101858456251,0.0,0.1673582295988935,0,Pass,medio
AAA_2013J_1620151,885,29.5,17,13,-0.004516506099055449,0.1499707773232028,0.06868083149039918,0.034482758620689655,0.005649717514124294,113,Fail,medio
AAA_2013J_1626710,5286,176.2,30,0,-0.0013184868881512522,0.3978172661682779,0.017559463242710793,0.034482758620689655,0.3779795686719637,739,Distinction,alto
AAA_2013J_1640609,4571,152.36666666666667,30,0,-0.0012349948130217852,0.40428790199081166,0.018430943347827727,0.034482758620689655,0.3719098665499891,490,Pass,alto
AAA_2013J_164259,460,15.333333333333334,24,6,7.544614789379526e-05,0.5058470764617691,0.03732270980364028,0.41379310344827586,0.5195652173913043,6,Pass,baixo
AAA_2013J_167906,1374,45.8,28,2,-0.000905421356091921,0.4298298449028762,0.02603144855140497,0.7931034482758621,0.420669577874818,136,Pass,medio
AAA_2013J_168936,745,24.833333333333332,25,5,-0.0010287343879478315,0.42027308493404303,0.04657941614187272,0.034482758620689655,0.44563758389261743,0,Pass,medio
AAA_2013J_172112,1890,63.0,28,2,0.0010560823019110006,0.5818463783981025,0.04086081391811179,0.896551724137931,0.6439153439153439,49,Pass,alto
AAA_2013J_172797,1646,54.86666666666667,26,4,0.0016056722941786268,0.6244396027988435,0.04670472366458085,0.8275862068965517,0.7223572296476306,136,Pass,medio
AAA_2013J_1729319,2583,86.1,28,2,-3.970514836246456e-05,0.4969228510019091,0.026333823688631804,0.034482758620689655,0.5427797135114208,173,Pass,alto
AAA_2013J_1746134,1704,56.8,21,9,-0.0017797552836484975,0.3620689655172414,0.045204405214403415,0.1724137931034483,0.28521126760563387,55,Pass,alto
AAA_2013J_174782,5980,199.33333333333334,30,0,-0.0007630179947247217,0.440866105408834,0.01861819837667417,0.896551724137931,0.4434782608695652,338,Pass,alto
AAA_2013J_175392,3961,132.03333333333333,30,0,-0.001566272266949813,0.37861389931138945,0.020135972516492365,0.034482758620689655,0.3271901035092148,486,Pass,alto
AAA_2013J_175932,1732,57.733333333333334,28,2,-0.00259205121420516,0.29911603089910005,0.040447566164422494,0.1724137931034483,0.26616628175519624,284,Pass,alto
AAA_2013J_175991,136,4.533333333333333,10,20,-0.0035300660865013422,0.22641987829614604,0.12051847176959146,0.034482758620689655,0.19117647058823528,2,Fail,baixo
AAA_2013J_1765788,6507,216.9,30,0,-0.0009251951308362533,0.4282973773601904,0.019371987149107435,0.06896551724137931,0.41739664976179497,550,Pass,alto
AAA_2013J_1801229,1419,47.3,23,7,-0.0012123720585318746,0.40604116546377983,0.04180971575086958,0.034482758620689655,0.4446793516560958,24,Pass,medio
AAA_2013J_1801641,394,13.133333333333333,19,11,-0.002984703816423211,0.2686854542272011,0.04350273221842596,0.0,0.2639593908629442,65,Pass,baixo
AAA_2013J_180753,1899,63.3,30,0,-0.0011973985488527713,0.4072016124639102,0.021672418654300883,0.0,0.40442338072669826,113,Pass,alto
AAA_2013J_183096,1719,57.3,27,3,-0.0011343480992713126,0.4120880223064733,0.03492183308320834,0.6206896551724138,0.43339150668993603,256,Pass,alto
AAA_2013J_183947,957,31.9,24,6,-7.973564032019775e-05,0.4938204878751847,0.038043134265289276,0.9310344827586207,0.4952978056426332,7,Pass,medio
AAA_2013J_184271,1214,40.46666666666667,27,3,-0.0020810235791919626,0.3387206726126228,0.026779437976745372,0.0,0.31466227347611203,98,Pass,medio
AAA_2013J_1847830,6383,212.76666666666668,30,0,0.00019737494460483806,0.515296558206875,0.017597854716019445,0.896551724137931,0.5436315212282625,135,Pass,alto
AAA_2013J_185439,322,10.733333333333333,5,25,-0.005373810790457306,0.0835296637395588,0.09678596327181586,0.06896551724137931,0.0,105,Fail,baixo
AAA_2013J_1860318,5718,190.6,30,0,3.81287202250684e-05,0.5029549758174429,0.017252137706670743,0.4482758620689655,0.5094438614900314,257,Pass,alto
AAA_2013J_186149,1687,56.233333333333334,27,3,-0.0015290650943912522,0.38149745518467787,0.04570000419834023,0.27586206896551724,0.3580320094842917,449,Pass,alto
AAA_2013J_187100,7793,259.76666666666665,30,0,-0.0011424359472656427,0.4114612140869126,0.021121006943021096,0.034482758620689655,0.4276915180290004,769,Distinction,alto
AAA_2013J_1889511,1687,56.233333333333334,25,5,-0.0009802105085476652,0.42403368558755594,0.03212806831682767,0.034482758620689655,0.45050385299347956,67,Pass,alto
AAA_2013J_1889577,927,30.9,27,3,-0.00175743634602993,0.36379868318268055,0.036961220109402185,0.0,0.42179072276159657,4,Pass,medio
AAA_2013J_1894188,4002,133.4,27,3,-0.000264272757948056,0.4795188612590256,0.06730082565008545,0.5862068965517241,0.675912043978011,292,Pass,alto
AAA_2013J_189879,1539,51.3,24,6,-0.0011802876779556525,0.408527704958437,0.0343418383398314,0.06896551724137931,0.40220922677063026,2,Pass,medio
AAA_2013J_192183,3071,102.36666666666666,28,2,-0.0005010813780933192,0.4611661931977677,0.023674284949716365,0.5862068965517241,0.5382611527189841,148,Pass,alto
AAA_2013J_1938355,1744,58.13333333333333,30,0,-0.001191180822728618,0.4076834862385322,0.025832353617344202,0.034482758620689655,0.3990825688073395,248,Pass,alto
AAA_2013J_1942396,369,12.3,21,9,-0.0022023868737018858,0.3293150172881039,0.05017162203790879,0.034482758620689655,0.33062330623306235,101,Pass,baixo
AAA_2013J_1976139,1005,33.5,22,8,0.000881244500522969,0.5682964487905301,0.037815090983339336,0.7241379310344828,0.5781094527363184,211,Pass,medio
AAA_2013J_200860,491,16.366666666666667,27,3,-0.002164432533092892,0.33225647868530095,0.0444486210370988,0.0,0.3034623217922607,43,Pass,baixo
AAA_2013J_2011876,1362,45.4,27,3,-2.8747882702104743e-05,0.4977720390905868,0.0279590793726232,0.6206896551724138,0.5734214390602056,39,Pass,medio
AAA_2013J_2012966,483,16.1,22,8,-0.003929371719670119,0.19547369172556578,0.0677229649928751,0.034482758620689655,0.11801242236024843,36,Pass,baixo
AAA_2013J_2051699,1687,56.233333333333334,25,5,-0.0024587683212526864,0.3094454551029168,0.039345906173709,0.034482758620689655,0.30171902786010674,47,Pass,alto
AAA_2013J_205350,1416,47.2,29,1,-0.0018548544207939775,0.35624878238846686,0.031772545761327986,0.0,0.356638418079096,249,Pass,medio
AAA_2013J_205719,320,10.666666666666666,18,12,-0.004304783092324805,0.16637931034482756,0.0803772571827518,0.06896551724137931,0.08750000000000001,13,Fail,baixo
AAA_2013J_2062879,2186,72.86666666666666,28,2,-0.0011520373862592063,0.4107171025649114,0.020543053070459116,0.0,0.4158279963403476,200,Fail,alto
AAA_2013J_2080474,1102,36.733333333333334,26,4,-0.0010412860427698447,0.41930033168533687,0.027752402121958068,0.034482758620689655,0.43920145190562615,44,Pass,medio
AAA_2013J_2083877,593,19.766666666666666,24,6,-0.0029258666646658185,0.2732453334883992,0.04386578679168986,0.034482758620689655,0.23777403035413153,92,Pass,baixo
AAA_2013J_2084066,1842,61.4,23,7,-0.003380037416407905,0.23804710022838746,0.05003053427602076,0.06896551724137931,0.19815418023887083,125,Fail,alto
AAA_2013J_2104505,700,23.333333333333332,22,8,-0.003382806292706182,0.23783251231527092,0.05464210498496748,0.0,0.2328571428571429,1,Pass,medio
AAA_2013J_2122180,4312,143.73333333333332,29,1,-0.0004902375552304039,0.4620065894696436,0.02288291942181242,0.4482758620689655,0.47564935064935077,400,Distinction,alto
AAA_2013J_2143752,1766,58.86666666666667,23,7,-0.0013033230580851768,0.3989924629983989,0.030681469034774513,0.0,0.4139297848244621,122,Pass,alto
AAA_2013J_2146792,2237,74.56666666666666,30,0,-0.0005377255710039922,0.45832626824719064,0.02151611277965201,0.9655172413793104,0.475189986589182,148,Pass,alto
AAA_2013J_2153153,3385,112.83333333333333,28,2,-0.001251152191093666,0.4030357051902409,0.028415452433297274,0.0,0.42747415066469713,0,Pass,alto
AAA_2013J_2155014,1351,45.03333333333333,24,6,-0.001768393041367618,0.3629495392940095,0.043681591984167455,0.034482758620689655,0.3693560325684678,103,Pass,medio
AAA_2013J_2164705,201,6.7,5,25,-0.005721116331579035,0.0566134843026248,0.12850307430667954,0.034482758620689655,0.0,30,Fail,baixo
AAA_2013J_2171627,1230,41.0,29,1,-0.0013926946833428286,0.39206616204093075,0.022097275812713608,0.0,0.3943089430894309,116,Pass,medio
AAA_2013J_2182846,3893,129.76666666666668,30,0,-0.0008409035126794145,0.4348299777673455,0.019426184053064247,0.034482758620689655,0.43359876701772415,321,Pass,alto
AAA_2013J_2194100,1375,45.833333333333336,25,5,-0.001999312367276772,0.34505329153605024,0.051051949630402924,0.0,0.37527272727272726,26,Pass,medio
AAA_2013J_2197016,1262,42.06666666666667,24,6,-0.0016683442952109136,0.3707033171211542,0.028503346328325612,0.3793103448275862,0.35340729001584786,193,Pass,medio
AAA_2013J_2208424,953,31.766666666666666,26,4,-0.0024023428153235435,0.31381843181242536,0.03595113280260864,0.034482758620689655,0.31479538300104926,127,Pass,medio
AAA_2013J_2229865,3138,104.6,27,3,-0.0005534086099490184,0.45711083272895103,0.025389044858085852,0.034482758620689655,0.5108349267049075,98,Pass,alto
AAA_2013J_2268379,1625,54.166666666666664,28,2,-0.0012905963891503365,0.3999787798408488,0.028145391285689905,0.0,0.40800000000000003,60,Pass,medio
AAA_2013J_227499,2597,86.56666666666666,27,3,-0.0018380924682925403,0.35754783370732807,0.031585330214521465,0.4482758620689655,0.3334616865614169,356,Distinction,alto
AAA_2013J_227517,1065,35.5,24,6,-0.0034114065184581714,0.2356159948194916,0.0447528916351208,0.034482758620689655,0.15774647887323945,140,Fail,medio
AAA_2013J_2278464,224,7.466666666666667,18,12,-0.0026537422532973143,0.2943349753694581,0.0658310190758305,0.034482758620689655,0.29910714285714285,83,Pass,baixo
AAA_2013J_228082,219,7.3,20,10,-0.0012240896785367808,0.40513304991339943,0.04416338016744805,0.034482758620689655,0.3972602739726027,8,Pass,baixo
AAA_2013J_228222,445,14.833333333333334,21,9,-0.0013903088325355267,0.39225106547849675,0.04971351104513307,0.20689655172413793,0.3662921348314606,0,Pass,baixo
AAA_2013J_229179,549,18.3,26,4,-0.0020427473553898175,0.34168707995728914,0.05153067382444065,0.6206896551724138,0.3442622950819672,65,Pass,baixo
AAA_2013J_229361,1186,39.53333333333333,29,1,-0.0004835802193555888,0.4625225329999418,0.037418611517709935,0.6206896551724138,0.4915682967959529,29,Pass,medio
AAA_2013J_2293923,158,5.266666666666667,12,18,-0.0013686092845778014,0.39393278044522045,0.05812073557877282,0.7931034482758621,0.36075949367088606,145,Pass,baixo
AAA_2013J_231554,1676,55.86666666666667,23,7,-0.0017675433589695263,0.3630153896798617,0.03971576393850929,0.1724137931034483,0.3573985680190931,163,Pass,medio
AAA_2013J_2329342,565,18.833333333333332,17,13,-0.0020502623367163117,0.34110466890448576,0.051286899534069626,0.0,0.39469026548672564,0,Pass,baixo
AAA_2013J_2339528,591,19.7,15,15,-0.002408014921636939,0.31337884357313733,0.07260066402221797,0.06896551724137931,0.25042301184433163,2,Distinction,baixo
AAA_2013J_2342426,1752,58.4,27,3,-0.001375958066039892,0.39336324988190835,0.029726649896336114,0.6896551724137931,0.4098173515981735,62,Fail,alto
AAA_2013J_2344901,416,13.866666666666667,16,14,-0.0019904594848977495,0.3457393899204244,0.046565725837937263,0.6206896551724138,0.3918269230769231,29,Fail,baixo
AAA_2013J_2358056,1402,46.733333333333334,28,2,0.00011869266691949673,0.509198681686261,0.03309585102723295,0.896551724137931,0.5135520684736091,186,Fail,medio
AAA_2013J_236284,732,24.4,21,9,0.0011877192022708898,0.592048238175994,0.08423516912453823,0.8620689655172413,0.6557377049180328,0,Pass,medio
AAA_2013J_2364471,6619,220.63333333333333,30,0,-0.0015456565612090856,0.3802116165062958,0.019368362234731953,0.13793103448275862,0.35624716724580757,563,Pass,alto
AAA_2013J_2367155,2090,69.66666666666667,29,1,-0.00053392658509455,0.4586206896551724,0.03989511315272153,0.6551724137931034,0.5296650717703348,58,Pass,alto
AAA_2013J_2369266,2008,66.93333333333334,26,4,-0.001896972731986404,0.35298461327105374,0.03554905698005157,0.034482758620689655,0.32171314741035856,138,Pass,alto
AAA_2013J_2376496,693,23.1,24,6,-0.0027630508164434753,0.28586356172563065,0.04191225781895977,0.0,0.2510822510822511,56,Pass,medio
AAA_2013J_238007,1779,59.3,28,2,-0.0006028808475596835,0.4532767343141245,0.024730504754694987,0.8275862068965517,0.4862282181000563,156,Pass,alto
AAA_2013J_240712,309,10.3,13,17,-0.000653008916775562,0.44939180894989394,0.06480658278650117,0.6206896551724138,0.47896440129449835,12,Pass,baixo
AAA_2013J_240884,425,14.166666666666666,22,8,-0.001953019695086044,0.3486409736308317,0.04568215078586946,0.034482758620689655,0.36705882352941177,2,Pass,baixo
AAA_2013J_2411661,499,16.633333333333333,9,21,-0.0032371751289007374,0.24911892751019285,0.063034432555659,0.034482758620689655,0.22244488977955912,75,Fail,baixo
AAA_2013J_2412002,2807,93.56666666666666,30,0,-0.002257109490694049,0.3250740144712111,0.02874312837903549,0.034482758620689655,0.27930174563591026,537,Distinction,alto
AAA_2013J_2412967,2291,76.36666666666666,30,0,-0.0007608240204815572,0.4410361384126794,0.021210474888413187,0.034482758620689655,0.43998254037538187,167,Pass,alto
AAA_2013J_241649,1604,53.46666666666667,30,0,-0.0016821128491341178,0.3696362541921059,0.02524423627845542,0.0,0.34725685785536153,288,Pass,medio
AAA_2013J_241729,1739,57.96666666666667,28,2,0.0002071178697690421,0.5160516349071007,0.027039048600412022,0.896551724137931,0.5629672225416906,90,Fail,alto
AAA_2013J_242793,606,20.2,25,5,-0.0007467042588574766,0.44213041993854557,0.04706954095996497,0.4482758620689655,0.4356435643564357,52,Pass,baixo
AAA_2013J_2437837,2494,83.13333333333334,28,2,-0.00033843181366090594,0.4737715344412798,0.03460511994836762,0.7931034482758621,0.48636728147554126,190,Pass,alto
AAA_2013J_2449878,612,20.4,18,12,-0.000415130828007881,0.46782736082938925,0.045133941063026914,0.6551724137931034,0.477124183006536,10,Pass,baixo
AAA_2013J_2456480,154,5.133333333333334,12,18,-0.0031405746644901263,0.25660546350201524,0.07881403875680526,0.034482758620689655,0.2077922077922078,29,Fail,baixo
AAA_2013J_2457256,1526,50.86666666666667,26,4,-0.002573997320453628,0.3005152076648438,0.034746459824584554,0.10344827586206896,0.24639580602883357,85,Pass,medio
AAA_2013J_2458355,3846,128.2,30,0,0.000389523923559834,0.5301881040758872,0.023515483977318084,0.8620689655172413,0.5657826313052522,341,Pass,alto
AAA_2013J_2460080,3211,107.03333333333333,30,0,-0.0008651434221005453,0.43295138478720774,0.030280007833442507,0.6206896551724138,0.5225786359389599,213,Pass,alto
AAA_2013J_2461190,950,31.666666666666668,14,16,-0.004499502371055558,0.15128856624319417,0.05177644489755554,0.034482758620689655,0.0,17,Fail,medio
AAA_2013J_246834,1062,35.4,23,7,-0.0008236814707280954,0.43616468601857267,0.04118269900174143,0.896551724137931,0.43691148775894534,112,Pass,medio
AAA_2013J_2469673,499,16.633333333333333,18,12,-0.0013102957862332009,0.39845207656692694,0.06869292700293286,0.41379310344827586,0.2565130260521042,24,Fail,baixo
AAA_2013J_2479954,261,8.7,21,9,-0.0007390075818597932,0.44272691240586604,0.04735225052452397,0.9310344827586207,0.4597701149425287,62,Pass,baixo
AAA_2013J_2481901,1647,54.9,27,3,-0.0031392905697688795,0.25670498084291193,0.04637358057061033,0.0,0.21797207043108685,302,Pass,medio
AAA_2013J_248270,1718,57.266666666666666,30,0,-0.001787265892383336,0.3614868933402914,0.02543725710871953,0.0,0.3533178114086147,251,Pass,alto
AAA_2013J_2482700,1526,50.86666666666667,24,6,-0.002690334535095789,0.2914990735300763,0.041155127549224055,0.034482758620689655,0.20969855832241158,90,Pass,medio
AAA_2013J_2486127,1621,54.03333333333333,26,4,-0.0012276303988460692,0.4048586440894297,0.023658581953133428,0.034482758620689655,0.33127698951264656,69,Pass,medio
AAA_2013J_2498700,2804,93.46666666666667,28,2,0.0012126328350251267,0.5939790447144473,0.03466319096387828,0.8275862068965517,0.6765335235378032,60,Pass,alto
AAA_2013J_2516503,2943,98.1,30,0,0.0002144565808575771,0.5166203850164622,0.016532616236521077,0.5172413793103449,0.5898742779476723,127,Pass,alto
AAA_2013J_2518069,1541,51.36666666666667,27,3,-0.0015165744041797105,0.38246548367607247,0.030029598654940756,0.034482758620689655,0.4055807916937054,76,Pass,medio
AAA_2013J_2521459,1065,35.5,26,4,0.0003298396235775799,0.5255625708272624,0.0409772473252801,0.7931034482758621,0.5906103286384977,13,Pass,medio
AAA_2013J_2523736,429,14.3,22,8,-0.002060305286111738,0.34032634032634035,0.036432057638820244,0.06896551724137931,0.2890442890442891,41,Pass,baixo
AAA_2013J_2529279,1035,34.5,25,5,-0.002648353242733472,0.2947526236881559,0.0492802561429511,0.06896551724137931,0.3120772946859903,154,Pass,medio
AAA_2013J_2532302,1174,39.13333333333333,26,4,0.0014303229217396572,0.6108500264348234,0.06570663107378844,0.896551724137931,0.706984667802385,42,Pass,medio
AAA_2013J_2536991,1019,33.96666666666667,27,3,-0.0010097360386254063,0.42174545700653104,0.03173836187304198,0.4827586206896552,0.40922473012757604,61,Distinction,medio
AAA_2013J_2550279,2653,88.43333333333334,28,2,-0.001634936334587956,0.3732924340694334,0.024760082513675365,0.034482758620689655,0.367885412740294,156,Pass,alto
AAA_2013J_2551220,1214,40.46666666666667,28,2,0.0005757816208014394,0.5446230756121114,0.036600717312735134,0.8620689655172413,0.5939044481054365,113,Pass,medio
AAA_2013J_2555340,4207,140.23333333333332,30,0,-0.00151751953217438,0.38239223625648544,0.025746345460097134,0.034482758620689655,0.392441169479439,234,Pass,alto
AAA_2013J_255548,2221,74.03333333333333,30,0,-0.0024235242620371127,0.31217686969212377,0.031181175782595535,0.034482758620689655,0.28680774425934263,359,Pass,alto
AAA_2013J_2557283,6738,224.6,30,0,-0.0010673116892850507,0.4172833440804086,0.01678274755528242,0.4482758620689655,0.4032353814188186,524,Pass,alto
AAA_2013J_2559575,496,16.533333333333335,20,10,-0.0021654885356489286,0.33217463848720796,0.040214011544197105,0.0,0.3629032258064516,154,Pass,baixo
AAA_2013J_2562034,238,7.933333333333334,10,20,-0.0011160860339686491,0.4135033323674298,0.08082045602307653,0.06896551724137931,0.4369747899159664,10,Pass,baixo
AAA_2013J_2566163,1573,52.43333333333333,28,2,-0.00041255134793409624,0.46802727053510756,0.03501996622594031,0.06896551724137931,0.4558169103623648,18,Pass,medio
AAA_2013J_2566592,1242,41.4,27,3,-0.00012072816638275818,0.49064356710533624,0.023638794181287084,0.6896551724137931,0.5619967793880837,117,Pass,medio
AAA_2013J_256815,1356,45.2,29,1,0.0007333615521671081,0.5568355202929509,0.03866651693833271,0.8620689655172413,0.6194690265486726,125,Pass,medio
AAA_2013J_2574528,948,31.6,26,4,-0.0011691377667638204,0.40939182307580385,0.03912786488568374,0.7586206896551724,0.40717299578059074,40,Pass,medio
AAA_2013J_2574583,1754,58.46666666666667,27,3,-0.0019578322803875583,0.34826799826996424,0.02767966616565389,0.034482758620689655,0.3181299885974914,136,Pass,alto
AAA_2013J_2578995,1171,39.03333333333333,30,0,-0.001288270770540187,0.4001590152831356,0.024474360241078658,0.0,0.36122971818958155,155,Pass,medio
AAA_2013J_258392,793,26.433333333333334,21,9,-0.0008088011479758232,0.4373179110318737,0.048527897024928865,0.034482758620689655,0.46658259773013866,51,Pass,medio
AAA_2013J_2586560,2677,89.23333333333333,30,0,-0.001918123445176083,0.35134543299885357,0.027083058889226762,0.0,0.3429211804258498,228,Pass,alto
AAA_2013J_258894,4783,159.43333333333334,28,2,-0.0007967130528333451,0.4382547384054157,0.0221181035180266,0.4482758620689655,0.4091574325736984,180,Pass,alto
AAA_2013J_2594139,1667,55.56666666666667,23,7,-0.0017777534593192597,0.3622241069027574,0.04185445748882074,0.7241379310344828,0.36892621475704857,201,Pass,medio
AAA_2013J_2598871,1789,59.63333333333333,29,1,-0.0002931025156204242,0.4772845550394171,0.029203958830102923,0.7931034482758621,0.5226383454443825,260,Pass,alto
AAA_2013J_2599352,1127,37.56666666666667,22,8,-0.0004629021894582666,0.46412508031698435,0.04063375143868539,0.06896551724137931,0.47914818101153506,33,Pass,medio
AAA_2013J_2600688,516,17.2,17,13,-0.001791827267161618,0.3611333867949746,0.05605969802097575,0.7931034482758621,0.3391472868217054,66,Pass,baixo
AAA_2013J_2606098,438,14.6,20,10,0.0007456280697477155,0.557786175405448,0.0541007577454295,0.7931034482758621,0.6506849315068493,53,Pass,baixo
AAA_2013J_2613116,1016,33.86666666666667,26,4,-0.001604582519509866,0.3756448547379853,0.03254758536566224,0.5862068965517241,0.36909448818897633,165,Pass,medio
AAA_2013J_2617002,1410,47.0,24,6,0.0006585725668394349,0.5510393739300563,0.06959515360156465,0.7241379310344828,0.6347517730496454,63,Pass,medio
AAA_2013J_262011,1019,33.96666666666667,23,7,-0.0018659921993797483,0.35538560454806933,0.047079430505283626,0.0,0.4200196270853778,47,Pass,medio
AAA_2013J_2620584,47,1.5666666666666667,3,27,-0.005978273732042696,0.036683785766691124,0.1531996977049644,0.034482758620689655,0.0,45,Fail,baixo
AAA_2013J_262934,2142,71.4,28,2,-0.0020763811642565823,0.3390804597701149,0.033170824420739875,0.0,0.29084967320261434,265,Pass,alto
