aluno,cluster,final_result,faixa_volume,semanas_mortas,centro_massa
AAA_2013J_2694424,0,Pass,alto,0,0.4404672069293611
AAA_2013J_2698257,0,Pass,medio,5,0.2873719815841398
AAA_2013J_271251,0,Pass,alto,0,0.3777772767751463
AAA_2013J_279572,0,Distinction,medio,9,0.4292902187038777
AAA_2013J_281022,0,Pass,baixo,8,0.4081896551724138
AAA_2013J_281250,1,Fail,baixo,20,0.2941946748144914
AAA_2013J_281589,1,Fail,baixo,26,0.114604462474645
AAA_2013J_282821,0,Pass,alto,5,0.309236311809652
AAA_2013J_28400,0,Pass,medio,4,0.3667043527416619
AAA_2013J_286488,0,Pass,medio,6,0.4207504474990712
AAA_2013J_287548,1,Pass,baixo,9,0.2562260536398467
AAA_2013J_290201,0,Pass,alto,4,0.3259536513498448
AAA_2013J_290757,0,Pass,medio,17,0.5897558133375708
AAA_2013J_291334,0,Distinction,alto,0,0.3803930507375934
AAA_2013J_293699,0,Pass,baixo,16,0.6275104206138689
AAA_2013J_294570,0,Pass,medio,1,0.3740249776224372
AAA_2013J_294594,0,Pass,medio,1,0.3767988837950967
AAA_2013J_295741,1,Fail,medio,4,0.2610837438423645
AAA_2013J_296332,0,Distinction,alto,2,0.3830892772791687
AAA_2013J_298696,0,Pass,baixo,6,0.336870026525199
AAA_2013J_300398,0,Pass,alto,1,0.4710119717589276
AAA_2013J_302302,1,Fail,baixo,17,0.2039450003599452
AAA_2013J_305152,1,Fail,baixo,24,0.1555499622451547
AAA_2013J_305386,0,Pass,medio,3,0.3388679966855759
AAA_2013J_306107,0,Pass,medio,3,0.3654753170527199
AAA_2013J_306466,0,Pass,medio,2,0.4127903215371676
AAA_2013J_306897,0,Pass,alto,0,0.2878422655562131
AAA_2013J_307061,0,Pass,medio,1,0.4593534048685627
AAA_2013J_307866,0,Pass,medio,2,0.3512643678160919
AAA_2013J_311917,0,Pass,alto,1,0.3863751051303616
AAA_2013J_312537,0,Distinction,alto,0,0.3728474745678008
AAA_2013J_312782,0,Pass,baixo,4,0.2976563666218838
AAA_2013J_31604,0,Pass,alto,0,0.4155267765815433
AAA_2013J_318933,0,Pass,medio,3,0.3567467652495379
AAA_2013J_319047,0,Pass,alto,0,0.5199325301730962
AAA_2013J_321942,0,Pass,alto,0,0.3794590094476366
AAA_2013J_324002,0,Pass,alto,2,0.3554300435988903
AAA_2013J_324084,0,Pass,alto,2,0.4246764289088331
AAA_2013J_324282,0,Pass,baixo,8,0.4002704530087898
AAA_2013J_32885,0,Pass,medio,5,0.354579814287714
AAA_2013J_332789,0,Pass,medio,3,0.4799849563970571
AAA_2013J_333059,0,Pass,baixo,14,0.5397701149425287
AAA_2013J_333323,0,Pass,baixo,11,0.5228316820722864
AAA_2013J_334259,1,Fail,baixo,15,0.1581407098648477
AAA_2013J_336207,0,Pass,medio,1,0.2956161454156642
AAA_2013J_339972,0,Pass,baixo,12,0.3883008990554228
AAA_2013J_341872,0,Fail,baixo,14,0.5896380168124893
AAA_2013J_342514,0,Pass,medio,4,0.4190039236853577
AAA_2013J_342972,0,Pass,medio,4,0.3541211721090853
AAA_2013J_343446,0,Pass,alto,0,0.3395315993880193
AAA_2013J_344282,1,Fail,baixo,17,0.323076923076923
AAA_2013J_345068,0,Pass,baixo,11,0.4089756592292089
AAA_2013J_345357,0,Distinction,alto,1,0.4395839962485973
AAA_2013J_346025,0,Pass,baixo,4,0.3508219008775182
AAA_2013J_346843,1,Fail,baixo,27,0.0870479394449117
AAA_2013J_350188,0,Pass,medio,5,0.4415669716162327
AAA_2013J_357668,1,Fail,baixo,15,0.260905691732447
AAA_2013J_364177,0,Fail,medio,10,0.3708432043520225
AAA_2013J_365244,0,Pass,medio,8,0.349867374005305
AAA_2013J_365642,0,Pass,alto,0,0.4014663645931819
AAA_2013J_366483,0,Pass,medio,3,0.3634533098414297
AAA_2013J_368194,0,Pass,baixo,13,0.4972222222222223
AAA_2013J_368824,0,Fail,baixo,13,0.5932765834655894
AAA_2013J_368963,1,Pass,medio,6,0.2327858152942456
AAA_2013J_376439,0,Distinction,alto,3,0.462065461171853
AAA_2013J_376581,0,Pass,alto,2,0.4476846446044016
AAA_2013J_38053,0,Pass,alto,1,0.4819474487848327
AAA_2013J_380953,0,Pass,medio,6,0.3637634070502742
AAA_2013J_383254,0,Pass,baixo,6,0.3838053040518847
AAA_2013J_386924,0,Pass,baixo,12,0.3757359125315391
AAA_2013J_386952,0,Pass,medio,0,0.3546279491833031
AAA_2013J_388722,0,Pass,baixo,8,0.3632599818511797
AAA_2013J_388885,0,Pass,medio,10,0.4998170675935242
AAA_2013J_392756,0,Fail,baixo,8,0.3180539639545786
AAA_2013J_392931,0,Pass,alto,0,0.5769271327638932
AAA_2013J_393207,0,Pass,medio,4,0.4750464346281191
AAA_2013J_396872,0,Pass,medio,6,0.427692854603626
AAA_2013J_398552,0,Fail,medio,4,0.3282782178509379
AAA_2013J_401869,0,Pass,medio,3,0.2906762638098426
AAA_2013J_402470,1,Pass,medio,4,0.2412985544698376
AAA_2013J_404804,1,Pass,baixo,19,0.1790527150217994
AAA_2013J_405088,0,Pass,medio,3,0.565580884054617
AAA_2013J_414117,0,Pass,medio,1,0.4602872085807996
AAA_2013J_420087,1,Fail,baixo,19,0.2366404517039725
AAA_2013J_429958,0,Pass,baixo,12,0.4463461699807031
AAA_2013J_441018,0,Pass,baixo,9,0.5073243453461239
AAA_2013J_441888,0,Pass,medio,12,0.5758620689655172
AAA_2013J_444677,0,Distinction,medio,0,0.3748879960690233
AAA_2013J_45462,0,Pass,medio,1,0.4222035323801513
AAA_2013J_45642,0,Pass,medio,3,0.4073229909565473
AAA_2013J_489455,0,Pass,alto,1,0.5102467586783772
AAA_2013J_495284,1,Pass,medio,5,0.257108959393777
AAA_2013J_498857,0,Pass,medio,3,0.3723485260524312
AAA_2013J_508818,1,Pass,medio,7,0.2979439857536021
AAA_2013J_512460,0,Pass,baixo,9,0.3434537711224069
AAA_2013J_52130,0,Pass,alto,2,0.4454631794272355
AAA_2013J_53025,0,Pass,alto,1,0.432225537130831
AAA_2013J_544103,0,Pass,alto,3,0.3424780256930358
AAA_2013J_550383,1,Pass,medio,11,0.2290854572713643
AAA_2013J_564450,0,Fail,baixo,13,0.5596264367816091
AAA_2013J_572652,0,Pass,medio,13,0.5612534349791685
AAA_2013J_57506,0,Pass,medio,4,0.3382817066043249
AAA_2013J_580389,1,Pass,medio,11,0.3033002811898772
AAA_2013J_581129,0,Fail,baixo,16,0.3306078919303234
AAA_2013J_58873,0,Pass,medio,1,0.4143849880526996
AAA_2013J_588775,0,Pass,alto,0,0.4641204964883258
AAA_2013J_591774,0,Pass,baixo,11,0.2907940525150269
AAA_2013J_59185,1,Pass,medio,10,0.2892449944382647
AAA_2013J_606143,1,Fail,baixo,19,0.1006439551308683
AAA_2013J_62155,0,Pass,alto,1,0.4514636210743847
AAA_2013J_63400,0,Pass,alto,0,0.3995853776518555
AAA_2013J_704156,0,Pass,alto,1,0.4492657420023524
AAA_2013J_70464,0,Pass,medio,9,0.3435317831689583
AAA_2013J_705379,0,Distinction,alto,0,0.5358267560908121
AAA_2013J_71361,0,Pass,alto,2,0.3089642178439748
AAA_2013J_74372,1,Fail,baixo,20,0.3211822660098522
AAA_2013J_749412,0,Pass,alto,1,0.3896196231781015
AAA_2013J_75091,0,Pass,alto,1,0.4430503769425468
AAA_2013J_760729,0,Distinction,alto,0,0.3987288945203687
AAA_2013J_77367,0,Pass,baixo,5,0.3202452607301569
AAA_2013J_905042,0,Pass,alto,1,0.4783202458176852
AAA_2013J_91265,0,Pass,medio,1,0.3968192208550168
AAA_2013J_949618,0,Pass,medio,0,0.3890548652799107
AAA_2013J_958987,0,Pass,medio,0,0.4662706461895103
AAA_2013J_968578,0,Pass,medio,4,0.4483592544719176
AAA_2013J_971027,0,Pass,alto,0,0.4674329501915709
AAA_2013J_978739,0,Pass,alto,0,0.3867008506290392
AAA_2013J_98094,0,Pass,alto,3,0.3331192151595667
AAA_2014J_101116,0,Pass,medio,1,0.3569425715447676
AAA_2014J_1045203,1,Pass,alto,1,0.2376664812144471
AAA_2014J_107489,0,Pass,alto,0,0.3358386634652247
AAA_2014J_108872,0,Pass,medio,3,0.4386120756951734
AAA_2014J_109155,0,Pass,alto,2,0.375103643369263
AAA_2014J_1112555,0,Pass,alto,2,0.4395082930356578
AAA_2014J_111512,1,Fail,baixo,26,0.0382513661202185
AAA_2014J_117818,0,Pass,medio,7,0.3677173683097101
AAA_2014J_121349,0,Pass,alto,3,0.4068629695776281
AAA_2014J_124064,0,Distinction,alto,2,0.5325398214598285
AAA_2014J_125018,0,Pass,alto,1,0.3099207255407301
AAA_2014J_1268696,0,Pass,baixo,10,0.3633418190233742
AAA_2014J_130034,0,Pass,alto,4,0.3951929464339633
AAA_2014J_130547,0,Pass,medio,7,0.4087492582580603
AAA_2014J_130636,0,Pass,baixo,20,0.4898119122257053
AAA_2014J_131390,1,Pass,baixo,24,0.1602434077079107
AAA_2014J_1336190,1,Pass,medio,12,0.2745343905587313
AAA_2014J_133816,0,Pass,alto,2,0.4225212160275003
AAA_2014J_133922,0,Pass,baixo,5,0.4155339805825242
AAA_2014J_1352868,0,Pass,medio,3,0.5161394866476536
AAA_2014J_135400,0,Pass,baixo,15,0.4337905396744007
AAA_2014J_135471,0,Distinction,alto,1,0.3863196083265824
AAA_2014J_139033,0,Fail,medio,4,0.5115018448503621
AAA_2014J_141377,0,Pass,baixo,18,0.4223011043497859
AAA_2014J_141506,1,Fail,baixo,20,0.1067853170189098
AAA_2014J_146503,1,Pass,baixo,6,0.2667435279320825
AAA_2014J_1471214,0,Pass,medio,13,0.4460779945944341
AAA_2014J_1472925,0,Pass,baixo,10,0.3247181380628997
AAA_2014J_147756,0,Pass,medio,3,0.550646551724138
AAA_2014J_1484804,0,Pass,medio,0,0.5874571778650197
AAA_2014J_148993,0,Pass,alto,1,0.5287170631162609
AAA_2014J_149741,0,Pass,alto,2,0.3420099288876961
AAA_2014J_149962,1,Pass,baixo,22,0.1874062968515742
AAA_2014J_1511033,0,Pass,baixo,11,0.4944938820912124
AAA_2014J_155984,0,Pass,alto,3,0.48817646699391
AAA_2014J_1576513,0,Distinction,alto,0,0.4291308060907809
AAA_2014J_1609002,0,Pass,medio,1,0.3551648683316984
AAA_2014J_1629771,1,Distinction,baixo,9,0.2744855117351504
AAA_2014J_164944,0,Pass,medio,2,0.3572143340094658
AAA_2014J_165226,1,Fail,medio,22,0.0779750093848876
AAA_2014J_167961,0,Pass,alto,4,0.3493185259969712
AAA_2014J_1715896,0,Pass,alto,0,0.342704650276206
AAA_2014J_1721270,1,Pass,medio,9,0.2680601040261992
AAA_2014J_174024,0,Pass,medio,10,0.3421239861499787
AAA_2014J_174094,0,Pass,alto,1,0.5286000227823795
AAA_2014J_174745,0,Pass,medio,10,0.3845552207218605
AAA_2014J_175447,0,Pass,alto,2,0.410297876780218
AAA_2014J_1757766,0,Pass,alto,0,0.4482977073389184
AAA_2014J_1773377,0,Pass,baixo,7,0.383367139959432
AAA_2014J_1799111,0,Pass,medio,3,0.3421193512832625
AAA_2014J_1818673,1,Fail,baixo,23,0.0804233958969882
AAA_2014J_183057,1,Pass,baixo,8,0.3035921846460397
AAA_2014J_185350,1,Fail,baixo,15,0.2502155172413793
AAA_2014J_188278,0,Pass,alto,0,0.3529533631048295
AAA_2014J_1926668,0,Pass,alto,4,0.3240322498167623
AAA_2014J_1947156,0,Pass,alto,6,0.3391096923562633
AAA_2014J_1967783,0,Pass,alto,3,0.3572596669538763
AAA_2014J_1970390,0,Pass,alto,1,0.6032140975352731
AAA_2014J_1975209,0,Pass,alto,1,0.3823441439131735
AAA_2014J_199636,0,Pass,alto,3,0.4277508772617671
AAA_2014J_199897,0,Pass,alto,1,0.4022127109747233
AAA_2014J_200804,0,Pass,medio,7,0.4329712896855536
AAA_2014J_2010232,0,Pass,alto,2,0.2882734915380512
AAA_2014J_2045084,1,Fail,baixo,24,0.0321379310344827
AAA_2014J_205494,0,Pass,medio,11,0.4117057693913333
AAA_2014J_2057803,0,Pass,alto,2,0.268030472031706
AAA_2014J_2073016,0,Fail,baixo,24,0.7654744056543156
AAA_2014J_2085209,0,Pass,alto,0,0.4883288361572953
AAA_2014J_2086400,0,Pass,alto,1,0.4067477944670564
AAA_2014J_2139353,0,Pass,medio,7,0.5667313796185016
AAA_2014J_2148681,0,Pass,alto,3,0.3810982170940453
AAA_2014J_2165164,0,Pass,medio,1,0.4830934047539336
AAA_2014J_2207874,1,Fail,baixo,22,0.2016916070266753
AAA_2014J_2240349,0,Pass,alto,3,0.3360624858728684
AAA_2014J_2244332,0,Distinction,alto,0,0.4397213158126819
AAA_2014J_2277857,0,Pass,alto,3,0.3146065668113169
AAA_2014J_228021,0,Distinction,alto,0,0.3892600574712642
AAA_2014J_228383,0,Pass,alto,2,0.3625217094423085
AAA_2014J_2297896,0,Pass,baixo,8,0.376075288581722
AAA_2014J_2318055,0,Pass,medio,5,0.5239398084815321
AAA_2014J_232307,0,Pass,medio,10,0.3185271770894213
AAA_2014J_2330254,0,Pass,alto,1,0.3384353741496599
AAA_2014J_235068,0,Pass,alto,1,0.3766848914632165
AAA_2014J_235507,0,Pass,medio,3,0.4565034555892784
AAA_2014J_2355470,0,Pass,baixo,12,0.545648604269294
AAA_2014J_2358969,0,Pass,medio,4,0.4908878696043903
AAA_2014J_2363863,0,Distinction,alto,0,0.5115399375034264
AAA_2014J_236875,0,Pass,baixo,11,0.4186922931976635
AAA_2014J_2369415,0,Pass,baixo,5,0.3585223681438302
AAA_2014J_237274,0,Pass,alto,1,0.3894394266281493
AAA_2014J_2375975,0,Pass,alto,3,0.3674476660536822
AAA_2014J_2397661,0,Pass,medio,13,0.5995058545493609
AAA_2014J_2398313,0,Pass,alto,0,0.356743931860896
AAA_2014J_2404408,1,Fail,medio,17,0.1526294374936425
AAA_2014J_2425993,0,Pass,medio,14,0.5031176192725555
AAA_2014J_2429854,1,Fail,baixo,26,0.0601712566535524
AAA_2014J_2432796,0,Pass,medio,11,0.3267222597851401
AAA_2014J_2434159,0,Pass,baixo,14,0.4514778325123153
AAA_2014J_243510,0,Fail,baixo,14,0.4405446086480569
AAA_2014J_2436812,1,Fail,baixo,18,0.2795086686712302
AAA_2014J_244246,0,Pass,medio,2,0.5041236443924929
AAA_2014J_2467267,1,Pass,baixo,19,0.2432950191570881
AAA_2014J_2470694,0,Fail,medio,0,0.3698818113407994
AAA_2014J_24734,0,Pass,baixo,4,0.5235644437908977
AAA_2014J_2473538,0,Pass,medio,6,0.3470764617691154
AAA_2014J_248581,0,Distinction,alto,4,0.4193123890074229
AAA_2014J_2494700,0,Pass,alto,1,0.3529151169858751
AAA_2014J_2500258,0,Pass,alto,2,0.4871451200194956
AAA_2014J_2509639,0,Pass,medio,4,0.4415087678004001
AAA_2014J_2514368,0,Distinction,baixo,17,0.36966481794068
AAA_2014J_2514898,0,Pass,medio,5,0.3796400079119141
AAA_2014J_252073,0,Pass,medio,7,0.4071048099643557
AAA_2014J_2521865,0,Pass,alto,0,0.3873366681248454
AAA_2014J_2522927,0,Pass,alto,3,0.3984347416735319
AAA_2014J_254625,0,Distinction,alto,2,0.4391440643314706
AAA_2014J_2551797,0,Pass,baixo,12,0.4194304121824437
AAA_2014J_2569324,0,Pass,baixo,12,0.4492078285181733
AAA_2014J_2574990,0,Fail,medio,7,0.3309193187606581
