aluno,b0,b1,b2,b3,b4,b5,b6,n_provas_com_clique,final_result,faixa_volume,aprovado,cluster,padrao
AAA_2013J_11391,0.05300031172069826,0.37134353741496595,0.05387750136852989,0.21237024309145833,0.17102556109725686,0.05356753982080638,0.08481530548628428,5,Pass,medio,True,1,constante
AAA_2013J_114017,0.2863803880846212,0.5477711714244431,0.11953377004444385,0.03607370659107016,0.0,0.010240963855421687,0.0,5,Pass,medio,True,1,constante
AAA_2013J_114999,0.1149283026633868,0.12072809268271259,0.12579775806413723,0.16496683863392766,0.12673098570952426,0.12631045358339435,0.2205375686629171,5,Pass,medio,True,2,decrescente
AAA_2013J_116541,0.21647362019335156,0.1900399405181908,0.05271458237316051,0.21167769711926243,0.1323641622650163,0.16211570896954228,0.03461428856147615,5,Pass,alto,True,2,decrescente
AAA_2013J_116692,0.30303778395791175,0.04131918335971897,0.07540079039233283,0.039559241339191586,0.17572006811501711,0.12692786613100915,0.2380350667048186,5,Pass,medio,True,2,decrescente
AAA_2013J_118983,0.781127450980392,0.1215686274509804,0.00784313725490196,0.0,0.05,0.03529411764705882,0.004166666666666667,5,Pass,baixo,True,0,crescente
AAA_2013J_123044,0.2651734811188568,0.08880886967016115,0.15162919678800613,0.10164216727522561,0.1998911571118187,0.14560176960348525,0.04725335843244631,5,Pass,alto,True,2,decrescente
AAA_2013J_127582,0.1516985010477983,0.13678190964760462,0.26092220338706545,0.15124553035797178,0.08904290708038756,0.15422749161687216,0.05608145686230017,5,Pass,medio,True,1,constante
AAA_2013J_132976,0.20332207446808512,0.19501851272423862,0.03225098039215686,0.1651589226115978,0.14128995098039215,0.06295955882352941,0.2,5,Pass,baixo,True,2,decrescente
AAA_2013J_134143,0.14243466061988402,0.05316200554295793,0.11392898790765041,0.10171359026149021,0.1293525199412539,0.10806717153191023,0.3513410641948533,5,Distinction,alto,True,2,decrescente
AAA_2013J_137873,0.16112287747340473,0.12608301788449977,0.16949952364984255,0.12933297912585207,0.07413372725198229,0.10123454581179878,0.2385933288026198,5,Pass,alto,True,2,decrescente
AAA_2013J_1401935,0.053763440860215055,0.18351254480286738,0.255331541218638,0.011111111111111112,0.24623655913978496,0.06451612903225806,0.18552867383512547,3,Fail,baixo,False,2,decrescente
AAA_2013J_1402638,0.11627906976744187,0.10447227191413237,0.15984177410400346,0.05920424403183024,0.281690518783542,0.120469434334711,0.15804268706433905,5,Pass,medio,True,2,decrescente
AAA_2013J_141355,0.5339190825369415,0.07791493739223677,0.12345989484538655,0.052794793858623644,0.10029875561790455,0.10051392307549119,0.011098612673415822,5,Pass,alto,True,0,crescente
AAA_2013J_1414443,0.02425856053229471,0.1982045790903984,0.12958376847568162,0.1233160621761658,0.4006032338799548,0.0,0.12403379584550471,5,Fail,alto,False,2,decrescente
AAA_2013J_142326,0.13548902288527104,0.10176771265609308,0.10458038668365817,0.15539855142460554,0.0881496062992126,0.21554702350924798,0.1990676965419116,5,Pass,alto,True,2,decrescente
AAA_2013J_144801,0.14901295158441724,0.11840339930268844,0.10757048422498569,0.25270260366444985,0.1466892691381087,0.17302010906091692,0.052601183024433194,5,Pass,alto,True,2,decrescente
AAA_2013J_145130,0.6455551075280155,0.005405405405405406,0.2452591141033352,0.03919597989949748,0.03533098315707012,0.022110552763819097,0.007142857142857143,5,Pass,baixo,True,0,crescente
AAA_2013J_146188,0.39757946847316317,0.08663366336633663,0.4099122807017544,0.05141914191419142,0.0,0.054455445544554455,0.0,4,Fail,baixo,False,1,constante
AAA_2013J_1465690,0.24313798184367194,0.1259154387308073,0.1384774848114229,0.08846671595248823,0.11182076724015935,0.13103425723708437,0.16114735418436593,5,Pass,alto,True,2,decrescente
AAA_2013J_1472925,0.2994820508675733,0.3022467752249934,0.02181818181818182,0.09104886897140418,0.11010570824524314,0.04639778062313274,0.12890063424947146,4,Fail,medio,False,1,constante
AAA_2013J_147756,0.24973436409479963,0.18757026867844004,0.08631966351209254,0.040676223926452884,0.133808112672466,0.12065643717114156,0.18123492994460735,5,Fail,baixo,False,2,decrescente
AAA_2013J_1488959,0.02719896651741714,0.31372967843619437,0.13565080123811774,0.19141272358499528,0.09237666175501436,0.08108329752855821,0.15854787093970296,5,Pass,alto,True,1,constante
AAA_2013J_151358,0.12860958860958863,0.1307125307125307,0.5598046998046998,0.12307692307692308,0.0577962577962578,0.0,0.0,5,Pass,baixo,True,1,constante
AAA_2013J_1518989,0.3188461768986852,0.20877129368252095,0.09978565630299074,0.12274546424047819,0.14238513075243422,0.033577475486284016,0.07388880263660666,5,Pass,alto,True,1,constante
AAA_2013J_155550,0.2602239757508494,0.23425229604875067,0.24162305166561454,0.09252218759384326,0.048021220159151196,0.07683373164902697,0.04652353713276401,5,Pass,medio,True,1,constante
AAA_2013J_155854,0.1028878601399797,0.12694892944548578,0.09532520721512273,0.22776681481744196,0.24149944590556172,0.09520487893004621,0.11036686354636187,5,Pass,alto,True,2,decrescente
AAA_2013J_157568,0.2664911129252442,0.17109070824165223,0.18998323869362713,0.18100769131913882,0.09122019635343619,0.09297524451491353,0.007231807951987997,5,Pass,medio,True,1,constante
AAA_2013J_1618738,0.046030149096186836,0.21153846153846154,0.25,0.255746140651801,0.01509433962264151,0.2159090909090909,0.005681818181818182,4,Pass,medio,True,1,constante
AAA_2013J_1620151,0.03376205787781351,0.48579373585804453,0.1542229367631297,0.06437269262831964,0.21094855305466237,0.013520602596165297,0.03737942122186495,4,Fail,medio,False,1,constante
AAA_2013J_1626710,0.12729988676452814,0.12725736652595937,0.18071761224190222,0.13549777310211203,0.10585920358804098,0.15257646124765917,0.17079169652979811,5,Distinction,alto,True,2,decrescente
AAA_2013J_1640609,0.19912258645634767,0.12543726769538127,0.13585064308926728,0.14351504628603778,0.1153335689925125,0.14162847279292914,0.1391124146875244,5,Pass,alto,True,2,decrescente
AAA_2013J_164259,0.5725959966055685,0.07186370019695992,0.09781904950322642,0.06527940929686189,0.10636542690843571,0.05487266553480476,0.031203751954142784,5,Pass,baixo,True,0,crescente
AAA_2013J_167906,0.30322518088217143,0.22252388325011824,0.15927262148825885,0.071141911023774,0.0680970596061065,0.13468047446909998,0.04105886928047108,5,Pass,medio,True,1,constante
AAA_2013J_168936,0.5547614222428989,0.22432623193656634,0.023293172690763052,0.01606425702811245,0.020891752764699095,0.037394957983193276,0.12326820535376685,5,Pass,medio,True,0,crescente
AAA_2013J_172112,0.257723512674083,0.16072219668797616,0.14181988870582027,0.11178254609433318,0.23306090614075403,0.062073713666869555,0.03281723603016379,5,Pass,alto,True,1,constante
AAA_2013J_172797,0.21862172251156758,0.2524397574021634,0.004081632653061224,0.16313746343640353,0.02206721623335447,0.2744589215175319,0.06519328624591783,5,Pass,medio,True,2,decrescente
AAA_2013J_1729319,0.37477186372494853,0.0992413924919093,0.18092722402144923,0.0879301213759629,0.07049716348967705,0.0717600543062272,0.11487218058982582,5,Pass,alto,True,1,constante
AAA_2013J_1746134,0.110433320432052,0.08874389067023628,0.13473816340281125,0.04488131288463417,0.38705207825425825,0.10754774818593656,0.12660348617007153,5,Pass,alto,True,2,decrescente
AAA_2013J_174782,0.14226487252464534,0.17018479196279446,0.12844835374428923,0.18172640106716323,0.11491563646668768,0.13328558965354748,0.1291743545808726,5,Pass,alto,True,2,decrescente
AAA_2013J_175392,0.1313477555087841,0.19083729333440258,0.13771915413205243,0.1505707916625759,0.11862825780060474,0.10137764624914074,0.1695191013124395,5,Pass,alto,True,2,decrescente
AAA_2013J_175932,0.3373619365953079,0.14878554831197235,0.1324262285165921,0.10126761111649518,0.043223786248484955,0.0834411643872964,0.15349372482385112,5,Pass,alto,True,1,constante
AAA_2013J_175991,0.29103343465045595,0.48670212765957444,0.10714285714285714,0.0,0.0026595744680851063,0.10714285714285714,0.005319148936170213,4,Fail,baixo,False,1,constante
AAA_2013J_1765788,0.11019641580313515,0.10963407233800279,0.1490495716619831,0.2087120529869792,0.13800844676746324,0.07940376357354469,0.2049956768688918,5,Pass,alto,True,2,decrescente
AAA_2013J_1801229,0.31165000171190804,0.3423097560324066,0.15525982964445362,0.06893212830054936,0.06467316439246264,0.0397037037037037,0.017471416214516002,5,Pass,medio,True,1,constante
AAA_2013J_1801641,0.005136986301369863,0.09262048192771084,0.19982670407658032,0.08006684271331903,0.18241458986631456,0.1090492105407933,0.3308851845739121,4,Pass,baixo,True,2,decrescente
AAA_2013J_180753,0.13110772224840214,0.1512882565309817,0.24964905059142434,0.11598691026139993,0.13408854435071516,0.10448869052533125,0.11339082549174546,5,Pass,alto,True,1,constante
AAA_2013J_183096,0.22409556409616896,0.1990291027089209,0.14287008975469948,0.1758516492818233,0.08050806654133223,0.13835981333134084,0.039285714285714285,5,Pass,alto,True,1,constante
AAA_2013J_183947,0.4264059693683865,0.13041501976284586,0.1358385093167702,0.10985462584578283,0.12166666666666667,0.03853107344632768,0.03728813559322034,5,Pass,medio,True,0,crescente
AAA_2013J_184271,0.13843260188087775,0.0910145340552864,0.1405250703648083,0.11698976308113007,0.2141930381266791,0.1661087220341914,0.13273627045702702,5,Pass,medio,True,2,decrescente
AAA_2013J_1847830,0.21283479002400485,0.23808058424805725,0.12324025960879133,0.10787996965669182,0.14677644565799117,0.06374859563849525,0.10743935516596832,5,Pass,alto,True,1,constante
AAA_2013J_185439,0.2958715596330275,0.0,0.0,0.26,0.3105688073394496,0.020642201834862386,0.11291743119266055,2,Fail,baixo,False,2,decrescente
AAA_2013J_1860318,0.19256384266262294,0.07453815255881,0.1077360985676726,0.12556534094898697,0.1124334507451932,0.1951584481242251,0.1920046663924892,5,Pass,alto,True,2,decrescente
AAA_2013J_186149,0.1787177369445184,0.04028433826296048,0.3116295099402765,0.016133518776077885,0.04662159976711842,0.1616132760936328,0.2450000202154155,5,Pass,alto,True,2,decrescente
AAA_2013J_187100,0.21098216440474804,0.10588867742942396,0.1866265274665923,0.14170804847243737,0.12444934794391627,0.1537380632799176,0.07660717100296444,5,Distinction,alto,True,2,decrescente
AAA_2013J_1889511,0.30065667513546124,0.20231640913455257,0.15217642392106695,0.053183497528357035,0.18567819222506027,0.0532916535348427,0.052697148520659196,5,Pass,alto,True,1,constante
AAA_2013J_1889577,0.3369447497402759,0.05732609527786477,0.16088546131812914,0.07758731484381343,0.2302691380929877,0.025185185185185182,0.11180205554174386,5,Pass,medio,True,2,decrescente
AAA_2013J_1894188,0.30655302778147603,0.12981254618302387,0.18804465048105523,0.08522969059465668,0.10055468585358354,0.08364091727397269,0.10616448183223197,5,Pass,alto,True,1,constante
AAA_2013J_189879,0.2463574215639433,0.22611681796464406,0.22739896878483834,0.10602355072463768,0.034505494505494505,0.07494250676859374,0.08465523968784838,5,Pass,medio,True,1,constante
AAA_2013J_192183,0.22377645517266495,0.16130149806310135,0.1292810779379896,0.13365799202032486,0.07403135586293526,0.14145192014903976,0.13649970079394422,5,Pass,alto,True,2,decrescente
AAA_2013J_1938355,0.14332731058361375,0.06640605420114734,0.13751632050644197,0.16155770999332483,0.1156875421778516,0.16240452044571813,0.21310054209190238,5,Pass,alto,True,2,decrescente
AAA_2013J_1942396,0.33565255295586816,0.1508004052684904,0.1523507928653896,0.1419047619047619,0.07261091868711858,0.06192973775358733,0.08475083056478407,5,Pass,baixo,True,1,constante
AAA_2013J_1976139,0.3121596729569058,0.08003813761322104,0.027741935483870973,0.13951293759512937,0.11540334855403349,0.17650262026783886,0.1486413475290005,5,Pass,medio,True,2,decrescente
AAA_2013J_200860,0.15252740696547096,0.13985766302548824,0.18567589456152125,0.1659185700099305,0.11845716349192019,0.10720607918483656,0.13035722276083228,5,Pass,baixo,True,2,decrescente
AAA_2013J_2011876,0.3483912690324048,0.18067802823997545,0.07795189597073897,0.12222765021245678,0.15041181751292182,0.05204932094136079,0.06829001809014137,5,Pass,medio,True,1,constante
AAA_2013J_2012966,0.20901328944807201,0.04128045867176302,0.009364548494983277,0.24701275857797594,0.08304761904761905,0.3016653041000867,0.10861602165949993,5,Pass,baixo,True,2,decrescente
AAA_2013J_2051699,0.3465089202474786,0.19654054369014323,0.09082909568607508,0.09314682388337994,0.029134884312229853,0.1320366132723112,0.11180311890838208,5,Pass,alto,True,1,constante
AAA_2013J_205350,0.15641421043152964,0.09403398428310523,0.1698983891234696,0.13537621640207173,0.18585526210302744,0.11608623835964915,0.14233569929714715,5,Pass,medio,True,2,decrescente
AAA_2013J_205719,0.22096945215854583,0.3495329462257006,0.16766809728183119,0.06740722039888916,0.13149877976941848,0.05115879828326181,0.011764705882352941,5,Fail,baixo,False,1,constante
AAA_2013J_2062879,0.12420244979449988,0.14507386954062335,0.19807829232859012,0.10537341275394971,0.16367687898829633,0.15096722532862772,0.11262787126541289,5,Fail,alto,False,2,decrescente
AAA_2013J_2080474,0.2390578295250673,0.20309399409882153,0.07949292575494582,0.02749734470826053,0.199654748527019,0.09023914057348707,0.16096401681239872,5,Pass,medio,True,2,decrescente
AAA_2013J_2083877,0.2765030273277696,0.14204712812960235,0.25615938471608574,0.12571428571428572,0.04395352642775323,0.043618065783014234,0.11200458190148913,5,Pass,baixo,True,1,constante
AAA_2013J_2084066,0.48255378171357677,0.05268139812325279,0.19773874315852275,0.038851570964247024,0.03877495058848667,0.05784156265023771,0.13155799280167627,5,Fail,alto,False,0,crescente
AAA_2013J_2104505,0.28863843860747884,0.2639260777805669,0.16999542323071734,0.11096401214048272,0.10608292784763373,0.0,0.06039312039312039,5,Pass,medio,True,1,constante
AAA_2013J_2122180,0.18931808857301338,0.10792630390092676,0.16445627983984223,0.12927696474267014,0.12049339610159508,0.10206282287483318,0.1864661439671192,5,Distinction,alto,True,2,decrescente
AAA_2013J_2143752,0.10264213779932478,0.18184037348813026,0.16331838033772536,0.1840646599700229,0.108924448737723,0.12988320325867148,0.12932679640840222,5,Pass,alto,True,2,decrescente
AAA_2013J_2146792,0.14840754867999015,0.11704565704796802,0.11384481854115513,0.16591885056823305,0.11620529436075566,0.21182312959951335,0.1267547012023846,5,Pass,alto,True,2,decrescente
AAA_2013J_2153153,0.20708640351266488,0.1276938493978395,0.26111411408310603,0.1754485830968223,0.10886256185793637,0.0304,0.0893944880516309,5,Pass,alto,True,1,constante
AAA_2013J_2155014,0.049346775702477516,0.2291587130150214,0.011594202898550725,0.025852198119649138,0.24710727942763375,0.10616185683092064,0.33077897400574685,5,Pass,medio,True,2,decrescente
AAA_2013J_2164705,0.15454545454545454,0.40909090909090906,0.32222222222222224,0.04242424242424243,0.044444444444444446,0.02727272727272727,0.0,2,Fail,baixo,False,1,constante
AAA_2013J_2171627,0.04433029656910254,0.22140705952322567,0.1586752483864514,0.06341667970583634,0.19862589415619447,0.04692537313432836,0.26661944852486125,5,Pass,medio,True,2,decrescente
AAA_2013J_2182846,0.30448121380740384,0.10188962761416268,0.16265703505360588,0.13708117917003976,0.10666427368589759,0.11149372499579269,0.0757329456730976,5,Pass,alto,True,2,decrescente
AAA_2013J_2194100,0.18606336341354723,0.2738929088680927,0.22434897071202217,0.06600958110516934,0.1932775085412953,0.018520461972667858,0.037887205387205386,5,Pass,medio,True,1,constante
AAA_2013J_2197016,0.10603001375947232,0.09633787675533405,0.14708708832230447,0.09350246506026184,0.15203683830285686,0.27902623129313364,0.12597948650663682,5,Pass,medio,True,2,decrescente
AAA_2013J_2208424,0.14107743970416292,0.03684210526315789,0.11357328593528851,0.31245002239672104,0.12319860000219436,0.08616284300494828,0.186695703693527,5,Pass,medio,True,2,decrescente
AAA_2013J_2229865,0.11484494901993854,0.22391572111210642,0.13655658248441732,0.12231860743336867,0.17596108213326006,0.14142089476682684,0.0849821630500821,5,Pass,alto,True,1,constante
AAA_2013J_2268379,0.16639597068096518,0.21159766693296228,0.2015680738354111,0.07747136183818774,0.17736525302807704,0.04532036233269905,0.12028131135169765,5,Pass,medio,True,1,constante
AAA_2013J_227499,0.32647756195142386,0.031129432416589192,0.06109158842623032,0.12081501362197648,0.11639740618705725,0.14283553556511663,0.20125346183160628,5,Distinction,alto,True,2,decrescente
AAA_2013J_227517,0.5765885730558411,0.06446343554353706,0.11581984842765851,0.12634444963044106,0.0304114561563203,0.06443831206198622,0.02193392512421572,5,Fail,medio,False,0,crescente
AAA_2013J_2278464,0.20490302001337657,0.18271338169470597,0.09569892473118279,0.03636363636363636,0.29022482893450635,0.0,0.19009620826259194,5,Pass,baixo,True,2,decrescente
AAA_2013J_228082,0.3464270663489276,0.01764705882352941,0.38799673899410514,0.08785714285714286,0.09157243195785778,0.029970149253731343,0.03852941176470588,5,Pass,baixo,True,1,constante
AAA_2013J_228222,0.30385660535117054,0.13649921507064364,0.25766137976929904,0.2433569949719018,0.02028985507246377,0.0,0.03833594976452119,5,Pass,baixo,True,1,constante
AAA_2013J_229179,0.3244975325953503,0.3807670158833279,0.1418182090895455,0.04493528505392912,0.00821917808219178,0.01884497107647731,0.08091780821917807,5,Pass,baixo,True,1,constante
AAA_2013J_229361,0.33372979186880625,0.3210463826390752,0.09921786774449422,0.025126209893097107,0.0828229439106637,0.04234992650762909,0.0957068774362344,5,Pass,medio,True,1,constante
AAA_2013J_2293923,0.21273885350318472,0.10449606594230047,0.1362682652678906,0.0632393084622384,0.15714285714285714,0.24968152866242038,0.07643312101910829,5,Pass,baixo,True,2,decrescente
AAA_2013J_231554,0.3206554574775116,0.26294185783879714,0.09929235841281055,0.06393382785823619,0.15826533398540796,0.008397799461028001,0.08651336496620848,5,Pass,alto,True,1,constante
AAA_2013J_2329342,0.19106788138014263,0.19567658277551328,0.2632143702999318,0.26421789790296285,0.08582326764144946,0.0,0.0,5,Pass,baixo,True,1,constante
AAA_2013J_2339528,0.7106482795821031,0.23057432432432434,0.0,0.02626050420168067,0.016891891891891893,0.0,0.015625,4,Distinction,baixo,True,0,crescente
AAA_2013J_2342426,0.1849404414634261,0.04869590392839893,0.17654081642286895,0.0690050688833179,0.22931165627140643,0.06736835656081852,0.22413775646976308,5,Fail,alto,False,2,decrescente
AAA_2013J_2344901,0.2277027027027027,0.23486103843246703,0.29377336520193664,0.08648613291470433,0.0,0.13072173429316286,0.026455026455026454,5,Fail,baixo,False,1,constante
AAA_2013J_2358056,0.27640669790456396,0.09072432872864042,0.1555043510544855,0.06994702670397436,0.08933933478221608,0.15537364255570735,0.1627046182704123,5,Fail,medio,False,2,decrescente
AAA_2013J_236284,0.5843772893772894,0.27910256410256407,0.09445665445665445,0.008571428571428572,0.0,0.005555555555555555,0.027936507936507936,5,Pass,medio,True,0,crescente
AAA_2013J_2364471,0.12941202129049106,0.13059554379803323,0.13557392047710007,0.1426549383227525,0.1678151422841861,0.1415671704448171,0.15238126338261995,5,Pass,alto,True,2,decrescente
AAA_2013J_2367155,0.1269079475806945,0.08590319393125727,0.4085085033750782,0.15752917118502074,0.03861524618063027,0.10236063275320798,0.080175304994111,5,Pass,alto,True,1,constante
AAA_2013J_2369266,0.020776415337408944,0.06163248041555578,0.3007682996309138,0.09655167114301992,0.27288753788949494,0.030953058321479376,0.2164305372621273,5,Pass,alto,True,2,decrescente
AAA_2013J_2376496,0.14334841628959277,0.04824175824175824,0.14491273432449903,0.1518121094591683,0.12615384615384614,0.21505494505494505,0.17047619047619048,5,Pass,medio,True,2,decrescente
AAA_2013J_238007,0.09425447149835586,0.10455456843625859,0.09860978122445876,0.17363898044135256,0.1775771150519853,0.17885028606185016,0.17251479728573874,5,Pass,alto,True,2,decrescente
AAA_2013J_240712,0.8361436814531047,0.05089064719009941,0.08387254901960785,0.0,0.0,0.0064516129032258064,0.022641509433962266,5,Pass,baixo,True,0,crescente
AAA_2013J_240884,0.484002034070684,0.06222222222222222,0.10736842105263159,0.03238095238095238,0.17176328502415458,0.044047619047619044,0.09821546620173623,5,Pass,baixo,True,0,crescente
AAA_2013J_2411661,0.518177723217859,0.10649761259517357,0.1901374370886566,0.0,0.1198562166453491,0.0,0.06533101045296168,4,Fail,baixo,False,0,crescente
AAA_2013J_2412002,0.15938741433744802,0.1510315756569493,0.11779482251525952,0.1374028227944109,0.14295813102007054,0.14631361759178108,0.1451116160840806,5,Distinction,alto,True,2,decrescente
AAA_2013J_2412967,0.19293527043110387,0.11451044013147671,0.2221159662143967,0.12807220997621543,0.12998914874957093,0.11612877993776258,0.0962481845594738,5,Pass,alto,True,2,decrescente
AAA_2013J_241649,0.18935160600934067,0.07581586641496278,0.1611403944110733,0.17599709077538797,0.08749434414953612,0.08217061714665722,0.22803008109304196,5,Pass,medio,True,2,decrescente
AAA_2013J_241729,0.24564114501406578,0.19792148463082854,0.09315881626912367,0.14610580316128124,0.17887409564914636,0.04464199439559378,0.09365666087996058,5,Fail,alto,False,1,constante
AAA_2013J_242793,0.269009460276461,0.20092134382757143,0.0,0.08871391076115485,0.13401444654128974,0.08090167241491508,0.22643916617860782,5,Pass,baixo,True,2,decrescente
AAA_2013J_2437837,0.3839483327375717,0.0454932417086747,0.20915522863106614,0.015695103557370416,0.1848864681267888,0.06840543950021909,0.09241618573830919,5,Pass,alto,True,0,crescente
AAA_2013J_2449878,0.48181042513187144,0.20279801807053338,0.1576289997199696,0.0410958904109589,0.0,0.11666666666666667,0.0,5,Pass,medio,True,0,crescente
AAA_2013J_2456480,0.5491092358180966,0.17201125175808718,0.009259259259259259,0.0,0.00949367088607595,0.260126582278481,0.0,4,Fail,baixo,False,0,crescente
AAA_2013J_2457256,0.14172902832226514,0.07081614505123249,0.21289412449682282,0.10900773071976781,0.254373228550315,0.16131979888200568,0.04985994397759104,5,Pass,medio,True,2,decrescente
AAA_2013J_2458355,0.23253645757641314,0.13824529950414405,0.12659936821527223,0.12010997364913052,0.0925071738893581,0.19001303130127378,0.09998869586440819,5,Pass,alto,True,2,decrescente
AAA_2013J_2460080,0.1865916233608319,0.1292140532494097,0.13951430586097108,0.14549649047287988,0.13091368921860735,0.13214729358155014,0.1361225442557499,5,Pass,alto,True,2,decrescente
AAA_2013J_2461190,0.23217521252223802,0.13279108888174043,0.1395215842807911,0.06354228999413135,0.21834368417229608,0.15257607909874202,0.06105006105006105,3,Fail,medio,False,2,decrescente
AAA_2013J_246834,0.49116550478591625,0.08714860415194756,0.20722108800490185,0.05773369317584383,0.03422153458254541,0.02335766423357664,0.09915191106526847,5,Pass,medio,True,0,crescente
AAA_2013J_2469673,0.28856873172252795,0.1259062887145301,0.31961462450592887,0.19981227403355892,0.0,0.008955223880597014,0.05714285714285714,5,Fail,baixo,False,1,constante
AAA_2013J_2479954,0.21700929152148665,0.15924726661059713,0.19535423925667827,0.02415795586527294,0.11330049261083744,0.07154471544715446,0.21938603868797307,5,Pass,baixo,True,1,constante
AAA_2013J_2481901,0.1392466580753609,0.06524791857209869,0.17782428955696716,0.12615750310045476,0.11659295525436739,0.0352979274611399,0.3396327479796112,5,Pass,medio,True,2,decrescente
AAA_2013J_248270,0.09658228350014143,0.07802120720425779,0.14152155682677076,0.15602427614247363,0.1318979321589516,0.19548522473780705,0.20046751942959773,5,Pass,alto,True,2,decrescente
AAA_2013J_2482700,0.1151701688153239,0.3699740651963047,0.07066535758948807,0.21303171118543257,0.06912838005989926,0.06360999407872718,0.09842032307482436,5,Pass,medio,True,1,constante
AAA_2013J_2486127,0.20551941692648867,0.2631158814916292,0.06761408949933541,0.05266305160065865,0.1072967761223778,0.016801063358440407,0.2869897210010699,5,Pass,medio,True,1,constante
AAA_2013J_2498700,0.2863914331021919,0.23706913040846253,0.11330418010805525,0.10599765858804515,0.0875249517641625,0.036424943995509565,0.13328770203357312,5,Pass,alto,True,1,constante
AAA_2013J_2516503,0.14808555433659717,0.08683305678271074,0.08632153589191344,0.10808029016074219,0.23054797027927337,0.09458214378283122,0.24554944876593182,5,Pass,alto,True,2,decrescente
AAA_2013J_2518069,0.17044210355239633,0.10513329155326641,0.10990258917778228,0.27556101115019743,0.09849817118992618,0.12472879494614719,0.11573403843028415,5,Pass,medio,True,2,decrescente
AAA_2013J_2521459,0.3871835703227048,0.06721914199815704,0.15386941642595414,0.06324933991504994,0.09981345425324302,0.1374859373206291,0.09117913976426202,5,Pass,medio,True,0,crescente
AAA_2013J_2523736,0.23227933099563397,0.035096610706366806,0.3933247290435994,0.14606624654763295,0.10690362269309639,0.051446798815219866,0.03488266119845067,5,Pass,baixo,True,1,constante
AAA_2013J_2529279,0.020809769975366894,0.4723485242835159,0.0861503351875624,0.16181005284112798,0.08848625629113434,0.05945945945945946,0.11093560196183298,5,Pass,medio,True,1,constante
AAA_2013J_2532302,0.18302234518927465,0.13913409298294513,0.01571783643034679,0.22117093240446262,0.20636575620707168,0.1823266961385998,0.05226234064729936,5,Pass,medio,True,2,decrescente
AAA_2013J_2536991,0.21680996583648873,0.11039453114649851,0.0400373599003736,0.027965607694549692,0.24492697302373784,0.20460047870132395,0.15526508369702774,5,Distinction,medio,True,2,decrescente
AAA_2013J_2550279,0.1340391063092488,0.16960781919651657,0.1478538360434984,0.2067749698680677,0.14590268504765902,0.13009254186625427,0.06572904166875523,5,Pass,alto,True,2,decrescente
AAA_2013J_2551220,0.18655970762275226,0.09175953079178886,0.13888608337531153,0.16772412349183324,0.12734918680749044,0.15855991106893552,0.12916145684188818,5,Pass,medio,True,2,decrescente
AAA_2013J_2555340,0.18539202135089555,0.14622432751570016,0.12783193207194082,0.13082391884859673,0.13823952236330822,0.12490888195438957,0.146579395895169,5,Pass,alto,True,2,decrescente
AAA_2013J_255548,0.1467229255135722,0.24403096355599097,0.09122295071874904,0.16471235986033209,0.0943850918293739,0.10081600756244527,0.15810970095953655,5,Pass,alto,True,1,constante
AAA_2013J_2557283,0.12226790306247906,0.13140048374160826,0.1621360861277709,0.1338257741441043,0.13958464962588163,0.14580292160763608,0.1649821816905198,5,Pass,alto,True,2,decrescente
