aluno,total,p_comeco,p_meio,p_fim,semanas_mortas,cliques_ultimo_terco,ativo_no_fim,final_result,faixa_volume,timing,subtipo
AAA_2013J_1414443,1864,0.6142703862660944,0.25,0.13572961373390557,9,253,True,Fail,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_145130,414,0.572463768115942,0.1956521739130435,0.2318840579710145,11,96,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_146188,547,0.396709323583181,0.396709323583181,0.20658135283363802,16,113,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_1472925,939,0.3769968051118211,0.4174653887113951,0.2055378061767838,10,193,True,Fail,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_147756,522,0.6819923371647509,0.2624521072796935,0.05555555555555555,7,29,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_1488959,3329,0.43766896966055874,0.3271252628416942,0.23520576749774708,2,783,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1518989,4102,0.47025841053144807,0.3286201852754754,0.20112140419307656,2,825,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_157568,1341,0.3989560029828486,0.3713646532438479,0.2296793437733035,5,308,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1618738,723,0.7593360995850622,0.13692946058091288,0.1037344398340249,17,75,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1620151,885,0.7672316384180791,0.2327683615819209,0.0,13,0,False,Fail,medio,comeco-pesado,abandonou_cedo
AAA_2013J_1626710,5286,0.44003026863412786,0.3620885357548241,0.19788119561104806,0,1046,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1640609,4571,0.43032159264931086,0.35856486545613653,0.21111354189455261,0,965,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_167906,1374,0.39810771470160117,0.3529839883551674,0.24890829694323144,2,342,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_168936,745,0.46442953020134226,0.276510067114094,0.25906040268456376,5,193,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1746134,1704,0.5522300469483568,0.2142018779342723,0.2335680751173709,9,398,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_175392,3961,0.45367331481949,0.34763948497854075,0.1986872002019692,0,787,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_175932,1732,0.6830254041570438,0.21709006928406466,0.09988452655889145,2,173,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_175991,136,0.7279411764705882,0.125,0.14705882352941177,20,20,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_1765788,6507,0.46549869371446134,0.2368218841247887,0.29767942216074994,0,1937,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1801229,1419,0.44467935165609584,0.2755461592670895,0.2797744890768147,7,397,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1801641,394,0.6472081218274112,0.27411167512690354,0.07868020304568528,11,31,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_180753,1899,0.44971037388099,0.3001579778830964,0.25013164823591366,0,475,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_183096,1719,0.4549156486329261,0.25363583478766727,0.2914485165794066,3,501,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_184271,1214,0.5164744645799012,0.31054365733113676,0.17298187808896212,3,210,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_185439,322,1.0,0.0,0.0,25,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_186149,1687,0.5151155898043864,0.3396561944279787,0.14522821576763487,3,245,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_187100,7793,0.4189657384832542,0.35698703965096884,0.22404722186577697,0,1746,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1889511,1687,0.44931831653823356,0.22999407231772376,0.3206876111440427,5,541,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1889577,927,0.5026968716289104,0.25026968716289105,0.24703344120819848,3,229,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1894188,4002,0.22488755622188905,0.7468765617191404,0.028235882058970516,3,113,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_189879,1539,0.46523716699155293,0.2709551656920078,0.26380766731643923,6,406,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_1938355,1744,0.42373853211009177,0.29873853211009177,0.2775229357798165,0,484,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_1942396,369,0.6287262872628726,0.0948509485094851,0.2764227642276423,9,102,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_200860,491,0.5845213849287169,0.17515274949083504,0.24032586558044808,3,118,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2012966,483,0.6832298136645962,0.2650103519668737,0.051759834368530024,8,25,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2051699,1687,0.6229994072317724,0.2691167753408417,0.1078838174273859,5,182,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_205350,1416,0.5247175141242938,0.2387005649717514,0.2365819209039548,1,335,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_205719,320,0.8125,0.125,0.0625,12,20,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2062879,2186,0.4162854528819762,0.3403476669716377,0.2433668801463861,2,532,True,Fail,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2080474,1102,0.43738656987295826,0.34029038112522686,0.22232304900181488,4,245,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2083877,593,0.6374367622259697,0.24283305227655985,0.11973018549747048,6,71,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2084066,1842,0.7111834961997828,0.20629750271444083,0.08251900108577633,7,152,True,Fail,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2104505,700,0.73,0.14857142857142858,0.12142857142857143,8,85,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2143752,1766,0.4269535673839185,0.28199320498301245,0.29105322763306907,7,514,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2146792,2237,0.39830129637907913,0.30576665176575774,0.2959320518551632,0,662,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2153153,3385,0.46174298375184636,0.2431314623338257,0.29512555391432793,2,999,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2155014,1351,0.540340488527017,0.20873427091043673,0.2509252405625463,6,339,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2164705,201,1.0,0.0,0.0,25,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_2171627,1230,0.4772357723577236,0.33495934959349594,0.1878048780487805,1,231,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2182846,3893,0.4017467248908297,0.3318777292576419,0.2663755458515284,0,1037,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2194100,1375,0.49963636363636366,0.3010909090909091,0.19927272727272727,5,274,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2197016,1262,0.410459587955626,0.4619651347068146,0.12757527733755944,6,161,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2208424,953,0.6306400839454355,0.18048268625393493,0.1888772298006296,4,180,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2268379,1625,0.5206153846153846,0.16676923076923078,0.31261538461538463,2,508,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_227499,2597,0.44820947246823256,0.47631882941855985,0.07547169811320754,3,196,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_227517,1065,0.6938967136150235,0.23286384976525823,0.07323943661971831,6,78,True,Fail,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2278464,224,0.5892857142857143,0.21428571428571427,0.19642857142857142,12,44,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_228082,219,0.4337899543378995,0.2465753424657534,0.319634703196347,10,70,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_228222,445,0.501123595505618,0.2606741573033708,0.23820224719101124,9,106,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_229179,549,0.546448087431694,0.31876138433515483,0.13479052823315119,4,74,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2293923,158,0.46835443037974683,0.1962025316455696,0.33544303797468356,18,53,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_231554,1676,0.5196897374701671,0.3060859188544153,0.17422434367541767,7,292,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2329342,565,0.49911504424778763,0.2867256637168142,0.21415929203539824,13,121,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2339528,591,0.6243654822335025,0.18274111675126903,0.19289340101522842,15,114,True,Distinction,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2342426,1752,0.4634703196347032,0.23230593607305935,0.3042237442922374,3,533,True,Fail,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2344901,416,0.43509615384615385,0.5528846153846154,0.01201923076923077,14,5,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2364471,6619,0.5074784710681371,0.25728962078863876,0.23523190814322406,0,1557,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2367155,2090,0.27799043062200957,0.5889952153110047,0.13301435406698564,1,278,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2369266,2008,0.5014940239043825,0.30826693227091634,0.1902390438247012,4,382,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2376496,693,0.6262626262626263,0.2178932178932179,0.15584415584415584,6,108,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_240712,309,0.3268608414239482,0.49514563106796117,0.1779935275080906,17,55,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_240884,425,0.5223529411764706,0.21176470588235294,0.26588235294117646,8,113,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2411661,499,0.6613226452905812,0.23046092184368738,0.10821643286573146,21,54,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2412002,2807,0.5707160669754185,0.26932668329177056,0.15995724973281084,0,449,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_241649,1604,0.4869077306733167,0.3335411471321696,0.17955112219451372,0,288,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2456480,154,0.6103896103896104,0.38961038961038963,0.0,18,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_2457256,1526,0.6297509829619922,0.20838794233289645,0.1618610747051114,4,247,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2460080,3211,0.3653067580193086,0.3920896916848334,0.24260355029585798,0,779,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2461190,950,0.8378947368421052,0.16210526315789472,0.0,16,0,False,Fail,medio,comeco-pesado,abandonou_cedo
AAA_2013J_246834,1062,0.3860640301318267,0.3295668549905838,0.2843691148775895,7,302,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2469673,499,0.36072144288577157,0.4408817635270541,0.19839679358717435,12,99,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2479954,261,0.4482758620689655,0.3371647509578544,0.21455938697318008,9,56,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2481901,1647,0.6715239829993929,0.2119004250151791,0.11657559198542805,3,192,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_248270,1718,0.5244470314318975,0.26833527357392317,0.20721769499417927,0,356,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2482700,1526,0.5471821756225426,0.33748361730013104,0.11533420707732635,6,176,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2486127,1621,0.4608266502159161,0.2813078346699568,0.2578655151141271,4,418,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2518069,1541,0.4944841012329656,0.28033744321868914,0.22517845554834523,3,347,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2523736,429,0.5664335664335665,0.23776223776223776,0.1958041958041958,8,84,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2529279,1035,0.6685990338164252,0.13719806763285025,0.19420289855072465,5,201,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2536991,1019,0.3915603532875368,0.4200196270853778,0.18842001962708538,3,192,True,Distinction,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2550279,2653,0.49340369393139843,0.30531473803241616,0.20128156803618544,2,534,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2555340,4207,0.5041597337770383,0.2823864986926551,0.21345376753030662,0,898,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_255548,2221,0.5920756416028816,0.24628545700135074,0.16163890139576767,0,359,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2557283,6738,0.39403383793410507,0.3842386464826358,0.22172751558325912,0,1494,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2559575,496,0.592741935483871,0.1875,0.21975806451612903,10,109,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2562034,238,0.39915966386554624,0.37815126050420167,0.22268907563025211,20,53,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2574528,948,0.41983122362869196,0.3227848101265823,0.25738396624472576,4,244,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2574583,1754,0.4629418472063854,0.4104903078677309,0.1265678449258837,3,222,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2578995,1171,0.39795046968403075,0.39795046968403075,0.2040990606319385,0,239,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2586560,2677,0.5151288756070228,0.2917444901008592,0.19312663429211804,0,517,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_258894,4783,0.29353961948567847,0.5580179803470625,0.14844240016725904,2,710,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2594139,1667,0.47990401919616077,0.3059388122375525,0.21415716856628675,7,357,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2600688,516,0.5290697674418605,0.25775193798449614,0.2131782945736434,13,110,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2613116,1016,0.4507874015748031,0.39763779527559057,0.1515748031496063,4,154,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_262011,1019,0.43572129538763493,0.42492639842983315,0.1393523061825319,7,142,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2620584,47,1.0,0.0,0.0,27,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_262934,2142,0.5513538748832867,0.2376283846872082,0.21101774042950514,2,452,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2639540,1893,0.3856312731114633,0.33438985736925514,0.2799788695192816,2,530,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2639641,1921,0.44924518479958353,0.230609057782405,0.32014575741801143,0,615,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2641155,3698,0.5635478637101136,0.25905895078420765,0.17739318550567876,1,656,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2650282,635,0.46614173228346456,0.37480314960629924,0.15905511811023623,6,101,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2664024,798,0.38596491228070173,0.3483709273182957,0.2656641604010025,4,212,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_2669816,269,0.4944237918215613,0.3382899628252788,0.16728624535315986,18,45,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2676809,278,0.7769784172661871,0.22302158273381295,0.0,18,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_268073,3165,0.4325434439178515,0.3469194312796208,0.22053712480252766,2,698,True,Fail,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2689958,3745,0.4013351134846462,0.3233644859813084,0.2753004005340454,0,1031,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2691206,2069,0.3794103431609473,0.34944417593040117,0.27114548090865154,2,561,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2691244,452,0.45132743362831856,0.3252212389380531,0.2234513274336283,1,101,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_2694424,4204,0.3518078020932445,0.4191246431969553,0.2290675547098002,0,963,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_2698257,734,0.614441416893733,0.2438692098092643,0.14168937329700274,5,104,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_271251,3059,0.466492317750899,0.31611637790127495,0.21739130434782608,0,665,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_281022,480,0.47708333333333336,0.25833333333333336,0.26458333333333334,8,127,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_281250,79,0.620253164556962,0.22784810126582278,0.1518987341772152,20,12,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_281589,34,0.8529411764705882,0.14705882352941177,0.0,26,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_282821,1742,0.5889781859931114,0.27841561423650973,0.13260619977037888,5,231,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_28400,1220,0.4934426229508197,0.24918032786885247,0.2573770491803279,4,314,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_286488,1021,0.395690499510284,0.3535749265426053,0.2507345739471107,6,256,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_287548,432,0.5972222222222222,0.3425925925925926,0.06018518518518518,9,26,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_290201,1732,0.5444572748267898,0.312933025404157,0.1426096997690531,4,247,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_291334,4841,0.44660194174757284,0.37182400330510224,0.18157405494732493,0,879,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_294570,1618,0.4604449938195303,0.3689740420271941,0.17058096415327564,1,276,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_294594,865,0.44971098265895953,0.37572254335260113,0.1745664739884393,1,151,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_295741,707,0.6732673267326733,0.1966053748231966,0.13012729844413012,4,92,True,Fail,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_296332,1898,0.47576396206533195,0.34351949420442573,0.18071654373024237,2,343,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_298696,455,0.5758241758241758,0.2087912087912088,0.2153846153846154,6,98,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_302302,479,0.6931106471816284,0.3068893528183716,0.0,17,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_305152,137,0.8613138686131386,0.051094890510948905,0.08759124087591241,24,12,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_305386,1082,0.5129390018484289,0.32532347504621073,0.16173752310536044,3,175,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_306107,987,0.49848024316109424,0.32016210739615,0.18135764944275581,3,179,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_306466,1066,0.42213883677298314,0.2589118198874296,0.31894934333958724,2,340,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_306897,2389,0.6400167434072834,0.22101297614064463,0.138970280452072,0,332,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_307866,1425,0.5487719298245614,0.2905263157894737,0.1607017543859649,2,229,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_311917,2050,0.48097560975609754,0.2941463414634146,0.2248780487804878,1,461,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_312537,12213,0.5019241791533612,0.29157455170719726,0.20650126913944158,0,2522,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_312782,231,0.6103896103896104,0.19480519480519481,0.19480519480519481,4,45,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_31604,1989,0.4117647058823529,0.3660130718954248,0.2222222222222222,0,442,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_318933,1082,0.5360443622920518,0.28927911275415896,0.17467652495378927,3,189,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_321942,9278,0.45764173313214057,0.33983617158870444,0.202522095279155,0,1879,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_324002,1740,0.47011494252873565,0.33620689655172414,0.19367816091954024,2,337,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_324084,1825,0.35178082191780824,0.44602739726027396,0.2021917808219178,2,369,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_324282,102,0.4411764705882353,0.2549019607843137,0.30392156862745096,8,31,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_32885,739,0.5250338294993234,0.20974289580514208,0.2652232746955345,5,196,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_334259,273,0.7838827838827839,0.2087912087912088,0.007326007326007326,15,2,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_336207,1290,0.5922480620155038,0.24883720930232558,0.15891472868217055,1,205,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_339972,303,0.36633663366336633,0.47194719471947194,0.1617161716171617,12,49,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_342514,1661,0.4124021673690548,0.33714629741119806,0.25045153521974717,4,416,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_342972,679,0.5110456553755522,0.25184094256259204,0.23711340206185566,4,161,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_343446,3516,0.5315699658703071,0.3267918088737201,0.1416382252559727,0,498,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_344282,65,0.5846153846153846,0.18461538461538463,0.23076923076923078,17,15,True,Fail,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_345068,544,0.3290441176470588,0.5110294117647058,0.15992647058823528,11,87,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_345357,2059,0.3958232151529869,0.34919864011656143,0.25497814473045166,1,525,True,Distinction,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_346025,558,0.4874551971326165,0.3870967741935484,0.12544802867383512,4,70,True,Pass,baixo,comeco-pesado,antecipou_sustentou
AAA_2013J_346843,164,1.0,0.0,0.0,27,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_357668,166,0.536144578313253,0.463855421686747,0.0,15,0,False,Fail,baixo,comeco-pesado,abandonou_cedo
AAA_2013J_364177,786,0.43638676844783714,0.4631043256997455,0.1005089058524173,10,79,True,Fail,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_365244,780,0.5064102564102564,0.28717948717948716,0.2064102564102564,8,161,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_365642,1933,0.4309363683393689,0.3595447490946715,0.20951888256595966,0,405,True,Pass,alto,comeco-pesado,antecipou_sustentou
AAA_2013J_366483,1370,0.40875912408759124,0.47153284671532847,0.11970802919708029,3,164,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_368963,634,0.7145110410094637,0.1892744479495268,0.09621451104100946,6,61,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_380953,987,0.47416413373860183,0.3049645390070922,0.22087132725430597,6,218,True,Pass,medio,comeco-pesado,antecipou_sustentou
AAA_2013J_383254,537,0.5083798882681564,0.2271880819366853,0.2644320297951583,6,142,True,Pass,baixo,comeco-pesado,antecipou_sustentou
