id_student,perfil_aluno,n_ciclos,consistencia,final_result
173412,Insuficiente,2,0.5,Withdrawn
177492,Equilibrado,5,0.6,Distinction
184627,Insuficiente,1,1.0,Withdrawn
184720,Insuficiente,2,0.5,Fail
185994,Adiantado,5,0.8,Pass
191504,Insuficiente,1,1.0,Withdrawn
194163,Equilibrado,5,0.8,Pass
195246,Equilibrado,4,0.75,Fail
195552,Adiantado,5,0.8,Pass
197536,Tardio,4,1.0,Pass
199009,Equilibrado,5,1.0,Pass
204117,Insuficiente,2,0.5,Withdrawn
226955,Misto,4,0.5,Fail
228633,Adiantado,5,0.6,Pass
229498,Adiantado,5,0.6,Pass
230947,Insuficiente,1,1.0,Fail
232173,Equilibrado,5,0.6,Pass
234661,Equilibrado,5,0.6,Pass
235747,Insuficiente,1,1.0,Withdrawn
235768,Misto,4,0.5,Pass
235971,Equilibrado,5,0.6,Pass
236090,Equilibrado,5,0.8,Fail
237891,Misto,5,0.4,Pass
249357,Misto,5,0.4,Pass
251166,Adiantado,5,0.6,Fail
253633,Adiantado,5,0.6,Pass
253763,Equilibrado,5,0.6,Distinction
258245,Misto,5,0.4,Pass
258509,Equilibrado,5,0.6,Pass
258978,Misto,5,0.4,Pass
261863,Adiantado,3,0.6666666666666666,Withdrawn
262025,Tardio,5,0.8,Pass
262394,Tardio,5,0.8,Fail
263862,Misto,5,0.4,Distinction
265497,Misto,4,0.5,Pass
268823,Insuficiente,1,1.0,Fail
269584,Misto,5,0.4,Pass
270421,Tardio,5,0.8,Pass
275127,Insuficiente,1,1.0,Withdrawn
276265,Insuficiente,2,0.5,Pass
276337,Insuficiente,1,1.0,Withdrawn
277384,Insuficiente,2,1.0,Withdrawn
278380,Equilibrado,5,0.6,Pass
279440,Equilibrado,5,0.6,Pass
279653,Equilibrado,5,0.6,Distinction
279883,Insuficiente,1,1.0,Withdrawn
281134,Equilibrado,5,0.8,Pass
282849,Adiantado,5,0.6,Pass
283402,Misto,5,0.4,Pass
286778,Equilibrado,5,0.6,Distinction
287079,Adiantado,5,0.6,Fail
287258,Adiantado,5,1.0,Pass
289247,Equilibrado,5,0.8,Distinction
294112,Insuficiente,2,1.0,Fail
294219,Misto,5,0.4,Distinction
294920,Insuficiente,2,1.0,Withdrawn
294929,Misto,4,0.5,Pass
295893,Insuficiente,1,1.0,Fail
297218,Equilibrado,5,0.6,Pass
297341,Adiantado,4,0.75,Pass
301074,Equilibrado,5,0.8,Pass
301561,Insuficiente,2,0.5,Withdrawn
305064,Adiantado,5,0.6,Pass
305659,Tardio,5,0.6,Distinction
310205,Equilibrado,5,1.0,Fail
312126,Insuficiente,2,0.5,Withdrawn
312231,Misto,4,0.5,Pass
312960,Misto,5,0.4,Pass
315795,Adiantado,5,0.6,Pass
316082,Adiantado,5,0.6,Distinction
318139,Insuficiente,2,0.5,Withdrawn
318147,Adiantado,5,0.6,Pass
319073,Equilibrado,5,0.6,Pass
320133,Equilibrado,5,0.8,Distinction
320612,Adiantado,5,0.6,Distinction
322499,Insuficiente,2,1.0,Withdrawn
328797,Tardio,4,1.0,Fail
329895,Misto,3,0.3333333333333333,Pass
331789,Equilibrado,5,0.6,Pass
332237,Insuficiente,1,1.0,Fail
333993,Misto,5,0.4,Pass
334224,Adiantado,3,1.0,Withdrawn
335095,Equilibrado,4,0.75,Pass
337000,Adiantado,5,0.8,Pass
338689,Tardio,5,0.6,Pass
338806,Tardio,3,0.6666666666666666,Pass
339519,Misto,5,0.4,Pass
340831,Insuficiente,1,1.0,Withdrawn
341093,Insuficiente,1,1.0,Fail
341457,Tardio,3,0.6666666666666666,Withdrawn
341629,Equilibrado,5,0.6,Fail
343709,Tardio,4,0.75,Pass
345271,Adiantado,5,0.6,Distinction
347197,Equilibrado,5,0.6,Distinction
348108,Tardio,5,0.8,Pass
348324,Adiantado,5,0.8,Pass
349515,Misto,4,0.5,Pass
351147,Adiantado,5,0.6,Pass
354698,Tardio,5,0.8,Pass
355293,Adiantado,5,0.6,Pass
364066,Equilibrado,5,1.0,Distinction
366140,Equilibrado,5,0.6,Pass
367151,Misto,4,0.5,Withdrawn
369242,Equilibrado,5,0.6,Pass
369450,Equilibrado,5,0.6,Pass
369644,Insuficiente,2,0.5,Withdrawn
370735,Adiantado,5,0.6,Pass
372345,Misto,4,0.5,Pass
372509,Misto,5,0.4,Pass
372511,Tardio,5,0.8,Pass
374353,Insuficiente,2,0.5,Withdrawn
375527,Misto,4,0.5,Pass
378705,Insuficiente,2,1.0,Fail
378946,Adiantado,5,0.6,Pass
379278,Equilibrado,3,0.6666666666666666,Fail
379311,Insuficiente,2,0.5,Fail
379563,Insuficiente,1,1.0,Withdrawn
380952,Misto,4,0.5,Pass
381257,Adiantado,5,0.6,Pass
381414,Adiantado,5,0.6,Pass
381428,Insuficiente,2,1.0,Withdrawn
381529,Insuficiente,1,1.0,Withdrawn
383445,Misto,4,0.5,Fail
383602,Adiantado,5,0.6,Pass
383629,Misto,5,0.4,Pass
384107,Misto,4,0.5,Fail
386121,Insuficiente,1,1.0,Withdrawn
386389,Equilibrado,5,0.6,Pass
386956,Insuficiente,2,0.5,Withdrawn
389853,Insuficiente,2,0.5,Withdrawn
390070,Tardio,5,0.6,Fail
393141,Insuficiente,2,0.5,Fail
395758,Insuficiente,2,1.0,Withdrawn
396683,Misto,5,0.4,Pass
396834,Misto,4,0.5,Pass
396907,Misto,3,0.3333333333333333,Fail
397219,Equilibrado,5,0.6,Distinction
397292,Insuficiente,2,1.0,Fail
397671,Equilibrado,5,0.6,Distinction
398550,Equilibrado,5,0.6,Distinction
398630,Tardio,5,0.6,Pass
399429,Adiantado,5,0.6,Distinction
402695,Misto,5,0.4,Pass
405193,Equilibrado,5,0.6,Pass
407232,Equilibrado,5,0.6,Pass
408499,Insuficiente,2,0.5,Withdrawn
410407,Equilibrado,5,0.6,Distinction
410883,Tardio,5,1.0,Pass
411304,Misto,5,0.4,Pass
412353,Adiantado,5,0.6,Pass
413180,Misto,5,0.4,Pass
413709,Equilibrado,5,0.6,Pass
413949,Equilibrado,5,0.6,Pass
416199,Adiantado,5,0.8,Pass
416407,Adiantado,5,0.8,Pass
418201,Equilibrado,3,0.6666666666666666,Fail
419059,Misto,5,0.4,Distinction
419081,Insuficiente,2,0.5,Fail
420834,Insuficiente,1,1.0,Withdrawn
421070,Insuficiente,2,0.5,Withdrawn
423210,Tardio,5,1.0,Pass
423488,Tardio,4,0.75,Fail
423781,Misto,5,0.4,Pass
427256,Adiantado,5,0.6,Pass
429832,Tardio,5,0.6,Fail
431139,Adiantado,5,0.6,Pass
434476,Equilibrado,5,0.8,Pass
438063,Insuficiente,2,0.5,Fail
438644,Insuficiente,2,1.0,Fail
439950,Tardio,3,1.0,Fail
439995,Equilibrado,5,0.8,Pass
440818,Equilibrado,5,0.8,Pass
441165,Equilibrado,5,1.0,Pass
441421,Misto,3,0.3333333333333333,Fail
442199,Misto,4,0.5,Pass
442347,Insuficiente,1,1.0,Withdrawn
442563,Adiantado,5,0.6,Pass
442802,Adiantado,5,0.6,Pass
443151,Misto,5,0.4,Pass
443514,Equilibrado,5,0.6,Pass
443696,Misto,5,0.4,Fail
444011,Equilibrado,5,0.6,Pass
444619,Misto,5,0.4,Pass
444907,Misto,5,0.4,Pass
445686,Equilibrado,4,0.75,Pass
464522,Insuficiente,1,1.0,Withdrawn
465009,Insuficiente,1,1.0,Withdrawn
465078,Insuficiente,2,0.5,Withdrawn
465121,Misto,4,0.5,Fail
465294,Equilibrado,5,0.6,Pass
466120,Equilibrado,4,1.0,Fail
466807,Tardio,3,0.6666666666666666,Withdrawn
466987,Adiantado,5,0.6,Pass
467363,Misto,5,0.4,Fail
469499,Adiantado,5,0.6,Pass
471284,Tardio,5,0.6,Fail
474667,Tardio,5,0.6,Pass
475015,Equilibrado,5,0.6,Pass
476401,Equilibrado,5,0.8,Pass
476629,Equilibrado,5,0.6,Pass
477833,Equilibrado,5,0.8,Fail
479939,Equilibrado,5,1.0,Pass
480303,Insuficiente,2,0.5,Fail
481240,Insuficiente,1,1.0,Withdrawn
481717,Adiantado,5,0.6,Pass
482644,Equilibrado,5,0.6,Pass
483037,Equilibrado,5,0.6,Pass
483656,Insuficiente,2,0.5,Withdrawn
484010,Equilibrado,4,0.75,Fail
484494,Insuficiente,1,1.0,Withdrawn
484594,Equilibrado,5,0.6,Pass
485228,Adiantado,5,0.8,Fail
486087,Equilibrado,5,0.6,Distinction
486964,Misto,5,0.4,Pass
488525,Equilibrado,5,0.6,Pass
489553,Adiantado,4,0.75,Fail
490297,Insuficiente,1,1.0,Fail
491077,Insuficiente,1,1.0,Withdrawn
491126,Equilibrado,5,0.8,Pass
491756,Insuficiente,2,0.5,Withdrawn
491863,Misto,5,0.4,Pass
491959,Insuficiente,1,1.0,Withdrawn
492024,Tardio,5,0.6,Pass
492557,Insuficiente,2,1.0,Withdrawn
493793,Misto,5,0.4,Pass
494046,Equilibrado,4,1.0,Pass
494184,Equilibrado,5,0.6,Pass
496493,Insuficiente,2,0.5,Withdrawn
497415,Equilibrado,5,0.8,Pass
498442,Adiantado,5,0.6,Distinction
499244,Insuficiente,2,0.5,Withdrawn
499404,Equilibrado,5,1.0,Pass
500068,Adiantado,5,0.6,Pass
500618,Equilibrado,5,0.6,Pass
501444,Misto,5,0.4,Distinction
501897,Adiantado,4,0.75,Withdrawn
502011,Equilibrado,5,1.0,Pass
503684,Insuficiente,1,1.0,Withdrawn
504270,Insuficiente,1,1.0,Fail
505773,Adiantado,5,0.6,Distinction
506705,Tardio,5,0.6,Pass
507311,Insuficiente,1,1.0,Fail
507743,Equilibrado,5,0.6,Pass
507935,Adiantado,5,0.6,Distinction
508626,Equilibrado,5,1.0,Pass
509536,Adiantado,5,0.6,Pass
511309,Adiantado,5,0.8,Pass
511350,Tardio,3,1.0,Fail
511981,Misto,5,0.4,Pass
513272,Insuficiente,2,1.0,Fail
513422,Equilibrado,5,0.6,Pass
513428,Equilibrado,5,0.6,Pass
514078,Equilibrado,5,0.6,Pass
514556,Misto,4,0.5,Fail
516602,Misto,5,0.4,Distinction
517551,Equilibrado,5,0.8,Pass
519115,Equilibrado,5,0.8,Fail
521032,Insuficiente,1,1.0,Withdrawn
521115,Equilibrado,5,0.6,Pass
521153,Insuficiente,2,0.5,Fail
521255,Insuficiente,2,1.0,Fail
522082,Equilibrado,5,0.8,Pass
523017,Equilibrado,5,0.6,Pass
523249,Misto,5,0.4,Pass
524827,Insuficiente,2,1.0,Withdrawn
526721,Adiantado,5,0.6,Distinction
526819,Equilibrado,5,0.6,Fail
527619,Insuficiente,1,1.0,Withdrawn
529693,Tardio,5,0.6,Pass
529991,Equilibrado,5,0.8,Pass
530148,Misto,4,0.5,Withdrawn
531018,Equilibrado,5,0.8,Distinction
531871,Misto,5,0.4,Pass
532254,Adiantado,5,0.6,Pass
533418,Equilibrado,5,0.6,Distinction
534018,Insuficiente,1,1.0,Withdrawn
534112,Adiantado,4,0.75,Withdrawn
534457,Misto,5,0.4,Pass
535542,Insuficiente,1,1.0,Withdrawn
535671,Misto,4,0.5,Pass
535997,Insuficiente,2,0.5,Withdrawn
536351,Misto,5,0.4,Pass
536475,Tardio,5,0.8,Fail
536963,Equilibrado,5,0.6,Pass
537322,Equilibrado,5,0.6,Pass
537606,Insuficiente,2,0.5,Fail
537811,Equilibrado,5,0.6,Distinction
539308,Equilibrado,5,0.6,Fail
539945,Equilibrado,5,0.6,Pass
540723,Equilibrado,5,0.8,Pass
541532,Misto,4,0.5,Withdrawn
541921,Adiantado,5,0.6,Pass
542202,Adiantado,5,0.6,Pass
542550,Insuficiente,2,0.5,Withdrawn
543010,Adiantado,5,0.6,Fail
543432,Adiantado,3,0.6666666666666666,Withdrawn
544141,Insuficiente,2,0.5,Fail
544745,Misto,4,0.5,Fail
545164,Equilibrado,5,0.6,Pass
545962,Equilibrado,5,0.8,Pass
546547,Equilibrado,5,0.8,Pass
546645,Misto,5,0.4,Pass
547347,Equilibrado,5,0.6,Pass
549219,Misto,5,0.4,Pass
549321,Tardio,5,0.6,Distinction
549523,Insuficiente,2,0.5,Fail
549847,Equilibrado,5,0.6,Pass
550420,Equilibrado,5,0.6,Distinction
550703,Equilibrado,5,0.6,Distinction
552173,Equilibrado,5,0.6,Pass
553031,Equilibrado,5,0.6,Pass
553284,Equilibrado,5,0.6,Pass
553813,Tardio,4,0.75,Pass
554063,Equilibrado,5,1.0,Distinction
554525,Adiantado,5,0.6,Pass
555049,Equilibrado,5,0.6,Distinction
555827,Equilibrado,3,0.6666666666666666,Fail
556126,Misto,4,0.5,Pass
557085,Equilibrado,5,0.8,Distinction
557290,Adiantado,5,0.6,Pass
557792,Insuficiente,1,1.0,Withdrawn
557830,Insuficiente,1,1.0,Fail
558044,Equilibrado,5,0.8,Distinction
558342,Insuficiente,2,0.5,Fail
558764,Adiantado,5,0.6,Pass
560047,Equilibrado,5,0.6,Pass
560459,Misto,4,0.5,Withdrawn
560645,Equilibrado,5,0.6,Pass
560765,Insuficiente,1,1.0,Withdrawn
561231,Misto,5,0.4,Pass
562064,Tardio,3,1.0,Pass
562754,Equilibrado,5,0.8,Pass
562990,Equilibrado,4,0.75,Pass
563108,Equilibrado,5,0.6,Pass
563414,Equilibrado,5,0.6,Pass
564243,Equilibrado,5,0.8,Pass
564617,Equilibrado,5,1.0,Fail
564770,Insuficiente,1,1.0,Fail
564821,Insuficiente,1,1.0,Withdrawn
564933,Adiantado,5,0.8,Distinction
565017,Equilibrado,5,0.8,Pass
566823,Insuficiente,2,0.5,Fail
568987,Tardio,3,0.6666666666666666,Fail
568998,Insuficiente,2,0.5,Withdrawn
569034,Equilibrado,5,0.8,Pass
569080,Equilibrado,5,1.0,Pass
569108,Equilibrado,5,0.8,Distinction
569876,Equilibrado,5,0.6,Pass
570004,Adiantado,3,0.6666666666666666,Fail
570213,Misto,5,0.4,Fail
570689,Insuficiente,2,0.5,Fail
571074,Adiantado,5,0.6,Distinction
571950,Insuficiente,1,1.0,Withdrawn
572071,Insuficiente,1,1.0,Fail
572074,Misto,4,0.5,Pass
572213,Tardio,5,0.6,Distinction
572265,Insuficiente,2,1.0,Fail
573007,Insuficiente,1,1.0,Withdrawn
573583,Tardio,5,0.8,Pass
573697,Insuficiente,2,0.5,Withdrawn
574527,Equilibrado,5,0.6,Fail
574695,Insuficiente,1,1.0,Withdrawn
575069,Equilibrado,5,0.8,Pass
575112,Misto,5,0.4,Pass
575302,Equilibrado,5,0.6,Pass
575685,Equilibrado,3,0.6666666666666666,Fail
577032,Adiantado,4,0.75,Fail
577429,Equilibrado,3,0.6666666666666666,Fail
577533,Misto,4,0.5,Pass
578152,Adiantado,5,0.6,Pass
578495,Insuficiente,1,1.0,Withdrawn
578847,Adiantado,5,0.8,Distinction
579221,Insuficiente,2,1.0,Withdrawn
579660,Tardio,5,0.6,Pass
579686,Equilibrado,5,0.6,Pass
580459,Adiantado,5,0.6,Pass
580834,Equilibrado,5,0.8,Distinction
580845,Equilibrado,5,0.6,Pass
580926,Insuficiente,2,1.0,Fail
581219,Insuficiente,1,1.0,Fail
581253,Equilibrado,5,0.6,Pass
581659,Equilibrado,5,0.6,Distinction
581779,Equilibrado,5,0.8,Pass
582034,Equilibrado,3,0.6666666666666666,Withdrawn
582117,Adiantado,5,0.6,Pass
582266,Misto,4,0.5,Fail
582332,Equilibrado,5,0.6,Distinction
582530,Insuficiente,2,1.0,Fail
582653,Tardio,5,0.6,Pass
582670,Adiantado,4,0.75,Fail
583056,Misto,4,0.5,Fail
583318,Equilibrado,5,0.6,Pass
583487,Equilibrado,5,0.8,Pass
584515,Adiantado,5,0.6,Pass
584673,Insuficiente,2,0.5,Fail
585224,Equilibrado,5,0.8,Pass
585261,Equilibrado,4,1.0,Pass
585284,Equilibrado,5,0.8,Pass
585503,Equilibrado,5,0.8,Distinction
585572,Equilibrado,4,0.75,Fail
585825,Adiantado,3,0.6666666666666666,Withdrawn
585958,Adiantado,5,0.6,Pass
586811,Insuficiente,1,1.0,Fail
586906,Equilibrado,5,0.6,Pass
587509,Insuficiente,1,1.0,Fail
587571,Equilibrado,5,0.6,Distinction
587654,Insuficiente,2,0.5,Withdrawn
587706,Insuficiente,2,0.5,Fail
588128,Misto,5,0.4,Pass
588628,Equilibrado,5,0.6,Pass
589080,Adiantado,5,0.6,Distinction
589162,Equilibrado,5,0.6,Pass
589332,Equilibrado,5,0.6,Pass
589389,Misto,4,0.5,Pass
589441,Insuficiente,2,1.0,Withdrawn
589798,Insuficiente,1,1.0,Withdrawn
589828,Tardio,5,0.6,Pass
590120,Equilibrado,5,0.6,Pass
590462,Insuficiente,1,1.0,Withdrawn
591525,Adiantado,5,0.6,Pass
591581,Equilibrado,5,1.0,Pass
591746,Equilibrado,3,1.0,Withdrawn
591946,Adiantado,5,0.6,Pass
592218,Equilibrado,5,1.0,Pass
592295,Adiantado,5,0.6,Pass
592558,Equilibrado,5,0.8,Pass
592939,Adiantado,5,0.6,Pass
593136,Adiantado,5,0.6,Pass
593563,Adiantado,5,0.6,Pass
593722,Equilibrado,5,0.8,Fail
593796,Equilibrado,5,0.6,Distinction
594065,Equilibrado,5,0.8,Distinction
594122,Equilibrado,5,0.8,Pass
594229,Equilibrado,5,0.6,Pass
594258,Misto,5,0.4,Fail
594406,Equilibrado,4,0.75,Fail
594615,Insuficiente,2,0.5,Fail
594636,Equilibrado,5,0.8,Pass
595262,Equilibrado,3,1.0,Withdrawn
595721,Misto,5,0.4,Pass
595943,Equilibrado,5,0.8,Pass
596052,Insuficiente,1,1.0,Withdrawn
596203,Insuficiente,1,1.0,Withdrawn
596243,Misto,5,0.4,Pass
596253,Misto,5,0.4,Pass
596464,Insuficiente,1,1.0,Withdrawn
596758,Equilibrado,5,0.6,Pass
596805,Insuficiente,2,0.5,Withdrawn
597740,Misto,5,0.4,Pass
597937,Equilibrado,5,1.0,Fail
598308,Equilibrado,5,0.6,Pass
598540,Adiantado,5,0.6,Pass
598559,Equilibrado,5,0.6,Pass
598757,Insuficiente,1,1.0,Fail
599297,Insuficiente,2,0.5,Fail
599865,Insuficiente,2,0.5,Fail
600071,Equilibrado,5,0.6,Pass
600405,Insuficiente,2,1.0,Fail
600615,Insuficiente,2,1.0,Withdrawn
600773,Equilibrado,4,1.0,Withdrawn
600893,Insuficiente,2,0.5,Fail
601008,Tardio,5,0.8,Pass
601235,Equilibrado,5,0.6,Pass
601271,Equilibrado,5,0.6,Fail
601680,Equilibrado,3,0.6666666666666666,Withdrawn
601820,Tardio,4,1.0,Pass
602594,Equilibrado,5,0.6,Pass
603648,Equilibrado,5,0.6,Pass
603931,Insuficiente,2,0.5,Withdrawn
604567,Misto,5,0.4,Pass
604614,Adiantado,5,0.6,Pass
604907,Insuficiente,1,1.0,Fail
605180,Misto,5,0.4,Pass
605228,Insuficiente,2,0.5,Fail
605394,Tardio,3,0.6666666666666666,Fail
605682,Equilibrado,5,0.6,Pass
606257,Equilibrado,5,0.6,Pass
606428,Insuficiente,2,0.5,Withdrawn
606805,Tardio,4,0.75,Withdrawn
606904,Misto,5,0.4,Fail
607243,Equilibrado,5,0.8,Pass
607303,Equilibrado,5,0.6,Pass
607501,Adiantado,5,0.6,Pass
607679,Equilibrado,5,0.6,Pass
607700,Adiantado,5,0.6,Pass
607733,Insuficiente,1,1.0,Withdrawn
607866,Insuficiente,1,1.0,Pass
609142,Equilibrado,5,0.6,Distinction
609240,Equilibrado,5,0.6,Pass
611603,Misto,5,0.4,Pass
612842,Equilibrado,5,0.6,Pass
613165,Equilibrado,5,0.8,Pass
613330,Adiantado,5,0.8,Pass
613634,Adiantado,5,0.6,Pass
613899,Equilibrado,5,0.8,Distinction
613966,Insuficiente,2,1.0,Fail
614059,Misto,5,0.4,Pass
614984,Adiantado,5,0.6,Pass
615266,Equilibrado,5,0.6,Distinction
615299,Equilibrado,5,0.8,Distinction
615301,Misto,5,0.4,Pass
615302,Equilibrado,5,0.8,Pass
615306,Adiantado,5,0.6,Pass
615328,Misto,4,0.5,Withdrawn
615340,Adiantado,5,0.6,Pass
615342,Misto,5,0.4,Pass
615356,Equilibrado,4,1.0,Pass
616517,Adiantado,5,0.6,Distinction
616912,Equilibrado,5,0.6,Distinction
617010,Equilibrado,5,0.6,Pass
617119,Equilibrado,5,0.6,Pass
617150,Insuficiente,2,1.0,Withdrawn
617332,Insuficiente,1,1.0,Fail
617436,Misto,3,0.3333333333333333,Withdrawn
617580,Equilibrado,5,1.0,Pass
617783,Misto,4,0.5,Fail
617922,Equilibrado,5,0.6,Pass
618252,Insuficiente,1,1.0,Withdrawn
618663,Misto,5,0.4,Pass
619204,Tardio,5,0.6,Pass
619292,Equilibrado,5,0.6,Distinction
619321,Equilibrado,5,0.6,Pass
619502,Tardio,5,1.0,Pass
620094,Equilibrado,5,1.0,Distinction
620112,Insuficiente,2,0.5,Withdrawn
620269,Misto,5,0.4,Pass
620349,Equilibrado,4,0.75,Withdrawn
620431,Equilibrado,5,0.8,Pass
620740,Misto,5,0.4,Pass
620750,Insuficiente,2,0.5,Withdrawn
620810,Misto,5,0.4,Pass
622275,Equilibrado,3,0.6666666666666666,Withdrawn
622362,Insuficiente,1,1.0,Withdrawn
622481,Equilibrado,5,1.0,Distinction
622760,Equilibrado,5,0.6,Distinction
622899,Insuficiente,1,1.0,Withdrawn
622934,Tardio,5,0.6,Pass
622967,Equilibrado,3,0.6666666666666666,Fail
623166,Insuficiente,2,0.5,Withdrawn
623230,Insuficiente,2,0.5,Withdrawn
623471,Equilibrado,5,0.8,Pass
623589,Equilibrado,5,0.8,Distinction
623765,Equilibrado,5,1.0,Pass
623917,Insuficiente,1,1.0,Withdrawn
623955,Insuficiente,1,1.0,Fail
624282,Misto,5,0.4,Distinction
624864,Equilibrado,5,0.8,Distinction
624970,Adiantado,5,0.6,Pass
625245,Equilibrado,5,0.6,Pass
625330,Misto,4,0.5,Withdrawn
625515,Misto,4,0.5,Pass
625609,Insuficiente,2,0.5,Fail
625743,Adiantado,5,0.6,Pass
625802,Adiantado,5,0.6,Fail
625838,Equilibrado,5,0.8,Pass
626033,Equilibrado,5,0.8,Distinction
626349,Misto,4,0.5,Fail
626416,Equilibrado,5,0.6,Distinction
626454,Misto,5,0.4,Pass
626477,Equilibrado,5,0.6,Pass
626514,Equilibrado,5,0.6,Pass
626539,Insuficiente,1,1.0,Withdrawn
626552,Equilibrado,5,0.6,Pass
626579,Misto,5,0.4,Fail
627365,Adiantado,5,0.6,Distinction
627379,Insuficiente,1,1.0,Withdrawn
627829,Equilibrado,5,0.6,Pass
628149,Equilibrado,5,0.6,Pass
628157,Tardio,5,0.6,Pass
628308,Insuficiente,2,1.0,Withdrawn
628383,Equilibrado,5,0.8,Pass
628521,Tardio,5,0.6,Pass
628888,Adiantado,5,0.6,Pass
628964,Equilibrado,5,0.8,Distinction
629029,Equilibrado,5,1.0,Fail
629182,Insuficiente,2,0.5,Fail
629491,Equilibrado,5,0.8,Pass
629522,Tardio,3,0.6666666666666666,Withdrawn
629594,Insuficiente,2,1.0,Fail
629686,Insuficiente,1,1.0,Withdrawn
629818,Tardio,5,0.6,Distinction
629922,Misto,5,0.4,Pass
629944,Misto,5,0.4,Distinction
630109,Equilibrado,5,0.6,Pass
630158,Equilibrado,5,1.0,Pass
630168,Insuficiente,1,1.0,Withdrawn
630186,Insuficiente,1,1.0,Withdrawn
630745,Insuficiente,2,0.5,Withdrawn
630835,Equilibrado,5,0.6,Distinction
630905,Adiantado,5,0.6,Distinction
630910,Equilibrado,5,0.8,Pass
630992,Misto,4,0.5,Fail
631075,Insuficiente,1,1.0,Fail
631193,Insuficiente,1,1.0,Withdrawn
631438,Insuficiente,1,1.0,Fail
631524,Adiantado,3,1.0,Fail
631658,Equilibrado,5,0.8,Distinction
631681,Equilibrado,5,0.8,Pass
631715,Adiantado,5,0.6,Distinction
631740,Misto,5,0.4,Pass
631837,Equilibrado,5,0.6,Distinction
631924,Equilibrado,5,0.6,Distinction
632074,Equilibrado,5,0.6,Distinction
632179,Insuficiente,2,0.5,Withdrawn
632276,Insuficiente,1,1.0,Withdrawn
632290,Equilibrado,5,0.6,Pass
632458,Equilibrado,5,0.6,Distinction
632556,Misto,4,0.5,Fail
632597,Tardio,4,1.0,Pass
632826,Adiantado,5,0.8,Pass
632836,Misto,5,0.4,Pass
633079,Misto,5,0.4,Pass
633516,Equilibrado,5,0.8,Pass
633555,Adiantado,5,0.6,Distinction
633568,Equilibrado,5,0.6,Pass
633628,Insuficiente,2,0.5,Fail
633867,Equilibrado,5,0.6,Pass
633931,Equilibrado,5,1.0,Distinction
634088,Equilibrado,5,0.6,Distinction
634114,Equilibrado,3,0.6666666666666666,Fail
634512,Equilibrado,5,0.8,Pass
634526,Equilibrado,5,0.8,Pass
634601,Equilibrado,3,0.6666666666666666,Fail
634749,Equilibrado,5,0.6,Pass
