aluno,total_cliques,faixa_volume,final_result
AAA_2013J_2481901,1949.0,alto,Pass
AAA_2013J_248270,1969.0,alto,Pass
AAA_2013J_2482700,1616.0,alto,Pass
AAA_2013J_2486127,1690.0,alto,Pass
AAA_2013J_2498700,2864.0,alto,Pass
AAA_2013J_2516503,3070.0,alto,Pass
AAA_2013J_2518069,1617.0,alto,Pass
AAA_2013J_2521459,1078.0,medio,Pass
AAA_2013J_2523736,470.0,medio,Pass
AAA_2013J_2529279,1189.0,medio,Pass
AAA_2013J_2532302,1216.0,medio,Pass
AAA_2013J_2536991,1080.0,medio,Distinction
AAA_2013J_2542724,228.0,baixo,Withdrawn
AAA_2013J_2550279,2809.0,alto,Pass
AAA_2013J_2551220,1327.0,alto,Pass
AAA_2013J_2552472,519.0,medio,Withdrawn
AAA_2013J_2555340,4441.0,alto,Pass
AAA_2013J_255548,2580.0,alto,Pass
AAA_2013J_2557283,7262.0,alto,Pass
AAA_2013J_2559575,650.0,medio,Pass
AAA_2013J_2562034,248.0,baixo,Pass
AAA_2013J_2566163,1591.0,alto,Pass
AAA_2013J_2566592,1359.0,alto,Pass
AAA_2013J_256815,1481.0,alto,Pass
AAA_2013J_2569324,26.0,baixo,Withdrawn
AAA_2013J_2574528,988.0,medio,Pass
AAA_2013J_2574583,1890.0,alto,Pass
AAA_2013J_2576122,250.0,baixo,Withdrawn
AAA_2013J_2578995,1326.0,alto,Pass
AAA_2013J_258392,844.0,medio,Pass
AAA_2013J_2586560,2905.0,alto,Pass
AAA_2013J_258894,4963.0,alto,Pass
AAA_2013J_2594139,1868.0,alto,Pass
AAA_2013J_2598871,2049.0,alto,Pass
AAA_2013J_2599352,1160.0,medio,Pass
AAA_2013J_2600688,582.0,medio,Pass
AAA_2013J_260355,426.0,medio,Withdrawn
AAA_2013J_2606098,491.0,medio,Pass
AAA_2013J_2613116,1181.0,medio,Pass
AAA_2013J_2617002,1473.0,alto,Pass
AAA_2013J_262011,1066.0,medio,Pass
AAA_2013J_2620584,92.0,baixo,Fail
AAA_2013J_262934,2407.0,alto,Pass
AAA_2013J_2639449,797.0,medio,Pass
AAA_2013J_2639540,1964.0,alto,Pass
AAA_2013J_2639641,2042.0,alto,Pass
AAA_2013J_2641155,4109.0,alto,Pass
AAA_2013J_2643002,2434.0,alto,Pass
AAA_2013J_2645733,1596.0,alto,Pass
AAA_2013J_2649826,5974.0,alto,Distinction
AAA_2013J_2650282,641.0,medio,Pass
AAA_2013J_2664024,808.0,medio,Pass
AAA_2013J_2666246,612.0,medio,Pass
AAA_2013J_2669816,280.0,baixo,Fail
AAA_2013J_2671132,3720.0,alto,Pass
AAA_2013J_2676809,309.0,baixo,Fail
AAA_2013J_2678643,2287.0,alto,Pass
AAA_2013J_268073,3210.0,alto,Fail
AAA_2013J_2685865,2815.0,alto,Pass
AAA_2013J_268733,188.0,baixo,Withdrawn
AAA_2013J_2688067,289.0,baixo,Pass
AAA_2013J_2689958,3929.0,alto,Distinction
AAA_2013J_2691206,2297.0,alto,Distinction
AAA_2013J_2691244,472.0,medio,Pass
AAA_2013J_2694424,4218.0,alto,Pass
AAA_2013J_2698257,758.0,medio,Pass
AAA_2013J_271251,3348.0,alto,Pass
AAA_2013J_277880,2016.0,alto,Withdrawn
AAA_2013J_279572,1183.0,medio,Distinction
AAA_2013J_281022,492.0,medio,Pass
AAA_2013J_281250,130.0,baixo,Fail
AAA_2013J_281589,59.0,baixo,Fail
AAA_2013J_282821,1961.0,alto,Pass
AAA_2013J_28400,1435.0,alto,Pass
AAA_2013J_286488,1046.0,medio,Pass
AAA_2013J_287548,483.0,medio,Pass
AAA_2013J_290201,1740.0,alto,Pass
AAA_2013J_290757,652.0,medio,Pass
AAA_2013J_291334,5231.0,alto,Distinction
AAA_2013J_292923,,,Withdrawn
AAA_2013J_293699,187.0,baixo,Pass
AAA_2013J_294570,1775.0,alto,Pass
AAA_2013J_294594,865.0,medio,Pass
AAA_2013J_295741,709.0,medio,Fail
AAA_2013J_296332,2152.0,alto,Distinction
AAA_2013J_298696,514.0,medio,Pass
AAA_2013J_300398,1997.0,alto,Pass
AAA_2013J_302302,513.0,medio,Fail
AAA_2013J_30268,281.0,baixo,Withdrawn
AAA_2013J_305152,146.0,baixo,Fail
AAA_2013J_305386,1277.0,medio,Pass
AAA_2013J_305539,68.0,baixo,Withdrawn
AAA_2013J_306107,987.0,medio,Pass
AAA_2013J_306466,1220.0,medio,Pass
AAA_2013J_306897,2742.0,alto,Pass
AAA_2013J_307061,1081.0,medio,Pass
AAA_2013J_307866,1476.0,alto,Pass
AAA_2013J_311917,2230.0,alto,Pass
AAA_2013J_312537,12882.0,alto,Distinction
AAA_2013J_312782,281.0,baixo,Pass
AAA_2013J_31604,2158.0,alto,Pass
AAA_2013J_318933,1281.0,medio,Pass
AAA_2013J_319047,6589.0,alto,Pass
AAA_2013J_321942,10083.0,alto,Pass
AAA_2013J_324002,1901.0,alto,Pass
AAA_2013J_324084,1961.0,alto,Pass
AAA_2013J_324282,133.0,baixo,Pass
AAA_2013J_32885,1034.0,medio,Pass
AAA_2013J_331358,2376.0,alto,Withdrawn
AAA_2013J_332789,1655.0,alto,Pass
AAA_2013J_333059,301.0,baixo,Pass
AAA_2013J_333323,648.0,medio,Pass
AAA_2013J_334259,332.0,baixo,Fail
AAA_2013J_334333,303.0,baixo,Withdrawn
AAA_2013J_335764,2286.0,alto,Withdrawn
AAA_2013J_336207,1316.0,medio,Pass
AAA_2013J_339972,333.0,baixo,Pass
AAA_2013J_341872,201.0,baixo,Fail
AAA_2013J_342007,880.0,medio,Withdrawn
AAA_2013J_342514,1950.0,alto,Pass
AAA_2013J_342972,838.0,medio,Pass
AAA_2013J_343446,3644.0,alto,Pass
AAA_2013J_344282,65.0,baixo,Fail
AAA_2013J_345068,547.0,medio,Pass
AAA_2013J_345357,2219.0,alto,Distinction
AAA_2013J_346025,569.0,medio,Pass
AAA_2013J_346843,164.0,baixo,Fail
AAA_2013J_350188,761.0,medio,Pass
AAA_2013J_354858,198.0,baixo,Withdrawn
AAA_2013J_357668,166.0,baixo,Fail
AAA_2013J_364177,821.0,medio,Fail
AAA_2013J_365244,891.0,medio,Pass
AAA_2013J_365642,2129.0,alto,Pass
AAA_2013J_366483,1465.0,alto,Pass
AAA_2013J_368194,437.0,medio,Pass
AAA_2013J_368824,292.0,baixo,Fail
AAA_2013J_368963,677.0,medio,Pass
AAA_2013J_376439,2342.0,alto,Distinction
AAA_2013J_376581,2333.0,alto,Pass
AAA_2013J_38053,2445.0,alto,Pass
AAA_2013J_380953,1062.0,medio,Pass
AAA_2013J_383254,543.0,medio,Pass
AAA_2013J_386924,164.0,baixo,Pass
AAA_2013J_386952,910.0,medio,Pass
AAA_2013J_388722,671.0,medio,Pass
AAA_2013J_388885,875.0,medio,Pass
AAA_2013J_390890,639.0,medio,Withdrawn
AAA_2013J_392756,363.0,baixo,Fail
AAA_2013J_392931,3003.0,alto,Pass
AAA_2013J_393207,876.0,medio,Pass
AAA_2013J_396872,996.0,medio,Pass
AAA_2013J_398552,1183.0,medio,Fail
AAA_2013J_401869,955.0,medio,Pass
AAA_2013J_402470,1445.0,alto,Pass
AAA_2013J_404804,509.0,medio,Pass
AAA_2013J_405088,1388.0,alto,Pass
AAA_2013J_405961,,,Withdrawn
AAA_2013J_414117,807.0,medio,Pass
AAA_2013J_415969,1359.0,alto,Withdrawn
AAA_2013J_420087,342.0,baixo,Fail
AAA_2013J_429958,411.0,medio,Pass
AAA_2013J_441018,646.0,medio,Pass
AAA_2013J_441888,739.0,medio,Pass
AAA_2013J_442442,1009.0,medio,Withdrawn
AAA_2013J_444677,1241.0,medio,Distinction
AAA_2013J_45462,1492.0,alto,Pass
AAA_2013J_45642,1428.0,alto,Pass
AAA_2013J_470588,400.0,medio,Withdrawn
AAA_2013J_489455,2832.0,alto,Pass
AAA_2013J_494424,58.0,baixo,Fail
AAA_2013J_495284,901.0,medio,Pass
AAA_2013J_498857,998.0,medio,Pass
AAA_2013J_508818,1129.0,medio,Pass
AAA_2013J_512460,521.0,medio,Pass
AAA_2013J_52130,1894.0,alto,Pass
AAA_2013J_53025,3158.0,alto,Pass
AAA_2013J_544103,2328.0,alto,Pass
AAA_2013J_550383,910.0,medio,Pass
AAA_2013J_564450,224.0,baixo,Fail
AAA_2013J_568601,488.0,medio,Withdrawn
AAA_2013J_572652,780.0,medio,Pass
AAA_2013J_57506,1319.0,medio,Pass
AAA_2013J_580389,1271.0,medio,Pass
AAA_2013J_581129,194.0,baixo,Fail
AAA_2013J_58873,1732.0,alto,Pass
AAA_2013J_588775,7067.0,alto,Pass
AAA_2013J_591774,605.0,medio,Pass
AAA_2013J_59185,1102.0,medio,Pass
AAA_2013J_603861,955.0,medio,Withdrawn
AAA_2013J_606143,406.0,medio,Fail
AAA_2013J_62155,3388.0,alto,Pass
AAA_2013J_63400,2737.0,alto,Pass
AAA_2013J_65002,171.0,baixo,Withdrawn
AAA_2013J_704156,3064.0,alto,Pass
AAA_2013J_70464,1053.0,medio,Pass
AAA_2013J_705379,5680.0,alto,Distinction
AAA_2013J_71361,2327.0,alto,Pass
AAA_2013J_721259,1228.0,medio,Withdrawn
AAA_2013J_74372,116.0,baixo,Fail
AAA_2013J_749412,4007.0,alto,Pass
AAA_2013J_75091,2992.0,alto,Pass
AAA_2013J_760729,7288.0,alto,Distinction
AAA_2013J_77367,680.0,medio,Pass
AAA_2013J_905042,3004.0,alto,Pass
AAA_2013J_91265,1494.0,alto,Pass
AAA_2013J_94961,339.0,baixo,Withdrawn
AAA_2013J_949618,1357.0,alto,Pass
AAA_2013J_958987,1216.0,medio,Pass
AAA_2013J_968578,870.0,medio,Pass
AAA_2013J_969076,1980.0,alto,Withdrawn
AAA_2013J_971027,3098.0,alto,Pass
AAA_2013J_978739,5988.0,alto,Pass
AAA_2013J_98094,2839.0,alto,Pass
AAA_2014J_101116,1769.0,alto,Pass
AAA_2014J_1045203,3533.0,alto,Pass
AAA_2014J_107489,3722.0,alto,Pass
AAA_2014J_108872,1377.0,alto,Pass
AAA_2014J_109155,3019.0,alto,Pass
AAA_2014J_1112555,2404.0,alto,Pass
AAA_2014J_111512,439.0,medio,Fail
AAA_2014J_117818,1695.0,alto,Pass
AAA_2014J_1183831,2818.0,alto,Withdrawn
AAA_2014J_119902,2590.0,alto,Withdrawn
AAA_2014J_121349,2259.0,alto,Pass
AAA_2014J_124064,2042.0,alto,Distinction
AAA_2014J_125018,2195.0,alto,Pass
AAA_2014J_1268696,326.0,baixo,Pass
AAA_2014J_129955,877.0,medio,Withdrawn
AAA_2014J_130034,1831.0,alto,Pass
AAA_2014J_130547,1252.0,medio,Pass
AAA_2014J_130636,332.0,baixo,Pass
AAA_2014J_131390,157.0,baixo,Pass
AAA_2014J_1336190,1021.0,medio,Pass
AAA_2014J_133816,4000.0,alto,Pass
AAA_2014J_133922,574.0,medio,Pass
AAA_2014J_1352868,1091.0,medio,Pass
AAA_2014J_135335,16.0,baixo,Withdrawn
AAA_2014J_135400,323.0,baixo,Pass
AAA_2014J_135471,2291.0,alto,Distinction
AAA_2014J_139033,790.0,medio,Fail
AAA_2014J_1398979,5071.0,alto,Withdrawn
AAA_2014J_141377,613.0,medio,Pass
AAA_2014J_141506,415.0,medio,Fail
AAA_2014J_1456619,706.0,medio,Withdrawn
AAA_2014J_146503,368.0,baixo,Pass
AAA_2014J_1469279,,,Withdrawn
AAA_2014J_1471214,1161.0,medio,Pass
AAA_2014J_1472925,523.0,medio,Pass
AAA_2014J_147756,1107.0,medio,Pass
AAA_2014J_1484804,1454.0,alto,Pass
AAA_2014J_148993,1948.0,alto,Pass
AAA_2014J_149741,2342.0,alto,Pass
AAA_2014J_149962,141.0,baixo,Pass
AAA_2014J_1511033,679.0,medio,Pass
AAA_2014J_151587,166.0,baixo,Withdrawn
AAA_2014J_152668,765.0,medio,Withdrawn
AAA_2014J_155984,1737.0,alto,Pass
AAA_2014J_1576513,15716.0,alto,Distinction
AAA_2014J_158707,4746.0,alto,Withdrawn
AAA_2014J_159954,877.0,medio,Withdrawn
AAA_2014J_1609002,1025.0,medio,Pass
AAA_2014J_1629771,522.0,medio,Distinction
AAA_2014J_164944,1300.0,medio,Pass
AAA_2014J_165226,1062.0,medio,Fail
AAA_2014J_1676594,177.0,baixo,Withdrawn
AAA_2014J_167961,2129.0,alto,Pass
AAA_2014J_1686551,647.0,medio,Withdrawn
AAA_2014J_1689639,1882.0,alto,Withdrawn
AAA_2014J_1715896,5314.0,alto,Pass
AAA_2014J_1721270,730.0,medio,Pass
AAA_2014J_174024,812.0,medio,Pass
AAA_2014J_174094,4841.0,alto,Pass
AAA_2014J_174745,1610.0,alto,Pass
AAA_2014J_175447,3779.0,alto,Pass
AAA_2014J_175772,3018.0,alto,Withdrawn
AAA_2014J_1757766,3301.0,alto,Pass
AAA_2014J_1773377,711.0,medio,Pass
AAA_2014J_1799111,1174.0,medio,Pass
AAA_2014J_1818673,336.0,baixo,Fail
AAA_2014J_183057,833.0,medio,Pass
AAA_2014J_1839386,207.0,baixo,Withdrawn
AAA_2014J_185350,236.0,baixo,Fail
AAA_2014J_188278,3063.0,alto,Pass
AAA_2014J_1926668,2094.0,alto,Pass
AAA_2014J_1947156,2074.0,alto,Pass
AAA_2014J_1967783,2171.0,alto,Pass
AAA_2014J_1970390,3620.0,alto,Pass
AAA_2014J_1975209,2754.0,alto,Pass
AAA_2014J_199636,1836.0,alto,Pass
AAA_2014J_199897,2135.0,alto,Pass
AAA_2014J_200804,930.0,medio,Pass
AAA_2014J_2010232,4127.0,alto,Pass
AAA_2014J_2045084,326.0,baixo,Fail
AAA_2014J_205494,1114.0,medio,Pass
AAA_2014J_2057803,3418.0,alto,Pass
AAA_2014J_2073016,173.0,baixo,Fail
AAA_2014J_2085209,7427.0,alto,Pass
AAA_2014J_2086400,3501.0,alto,Pass
AAA_2014J_2139353,1126.0,medio,Pass
AAA_2014J_2148681,2346.0,alto,Pass
AAA_2014J_2158048,851.0,medio,Withdrawn
AAA_2014J_2158196,544.0,medio,Withdrawn
AAA_2014J_2165164,1621.0,alto,Pass
AAA_2014J_2168833,20.0,baixo,Withdrawn
AAA_2014J_2207874,265.0,baixo,Fail
AAA_2014J_2240349,3109.0,alto,Pass
AAA_2014J_2244332,13879.0,alto,Distinction
AAA_2014J_2273119,105.0,baixo,Withdrawn
AAA_2014J_2277857,2672.0,alto,Pass
AAA_2014J_228021,4028.0,alto,Distinction
AAA_2014J_228383,2386.0,alto,Pass
AAA_2014J_2297896,566.0,medio,Pass
AAA_2014J_2313257,28.0,baixo,Withdrawn
AAA_2014J_2318055,1726.0,alto,Pass
AAA_2014J_232307,702.0,medio,Pass
AAA_2014J_2330254,2867.0,alto,Pass
AAA_2014J_235068,2811.0,alto,Pass
AAA_2014J_235507,1067.0,medio,Pass
AAA_2014J_2355470,216.0,baixo,Pass
AAA_2014J_2358969,1733.0,alto,Pass
AAA_2014J_2363863,4481.0,alto,Distinction
AAA_2014J_2365101,,,Withdrawn
AAA_2014J_236875,201.0,baixo,Pass
AAA_2014J_2369415,729.0,medio,Pass
AAA_2014J_237274,2025.0,alto,Pass
AAA_2014J_2375975,4298.0,alto,Pass
AAA_2014J_2397661,1657.0,alto,Pass
AAA_2014J_2398313,3219.0,alto,Pass
AAA_2014J_2404408,802.0,medio,Fail
AAA_2014J_2425993,737.0,medio,Pass
AAA_2014J_2429854,298.0,baixo,Fail
AAA_2014J_2432796,963.0,medio,Pass
AAA_2014J_2434159,172.0,baixo,Pass
AAA_2014J_243510,549.0,medio,Fail
AAA_2014J_2436812,577.0,medio,Fail
AAA_2014J_244246,1365.0,alto,Pass
AAA_2014J_2467267,90.0,baixo,Pass
AAA_2014J_2470694,939.0,medio,Fail
AAA_2014J_24734,499.0,medio,Pass
AAA_2014J_2473538,1473.0,alto,Pass
AAA_2014J_2474849,142.0,baixo,Withdrawn
AAA_2014J_248581,2883.0,alto,Distinction
AAA_2014J_2494700,3527.0,alto,Pass
AAA_2014J_2500258,2403.0,alto,Pass
AAA_2014J_2507842,1204.0,medio,Withdrawn
AAA_2014J_2509639,1227.0,medio,Pass
AAA_2014J_2514368,377.0,baixo,Distinction
AAA_2014J_2514898,1828.0,alto,Pass
AAA_2014J_252073,865.0,medio,Pass
AAA_2014J_2521865,3945.0,alto,Pass
AAA_2014J_2522927,4477.0,alto,Pass
AAA_2014J_2540168,919.0,medio,Withdrawn
AAA_2014J_254625,1987.0,alto,Distinction
AAA_2014J_2546445,2372.0,alto,Withdrawn
AAA_2014J_2551797,694.0,medio,Pass
AAA_2014J_2551932,539.0,medio,Withdrawn
AAA_2014J_2569324,467.0,medio,Pass
AAA_2014J_2574990,1855.0,alto,Fail
AAA_2014J_2576122,11.0,baixo,Fail
AAA_2014J_2578676,1260.0,medio,Pass
AAA_2014J_2581477,5956.0,alto,Pass
AAA_2014J_2584873,1443.0,alto,Pass
AAA_2014J_258587,6609.0,alto,Distinction
AAA_2014J_2595841,969.0,medio,Fail
AAA_2014J_2596621,7649.0,alto,Pass
AAA_2014J_2601889,2473.0,alto,Pass
AAA_2014J_2602338,816.0,medio,Fail
AAA_2014J_260355,,,Withdrawn
AAA_2014J_260623,1178.0,medio,Pass
AAA_2014J_2606802,306.0,baixo,Fail
AAA_2014J_26192,2223.0,alto,Distinction
AAA_2014J_2624961,365.0,baixo,Fail
AAA_2014J_2630087,90.0,baixo,Withdrawn
AAA_2014J_263251,2485.0,alto,Pass
AAA_2014J_2633226,1044.0,medio,Pass
AAA_2014J_263543,1594.0,alto,Pass
AAA_2014J_263952,1444.0,alto,Distinction
AAA_2014J_2642616,1803.0,alto,Pass
AAA_2014J_2642935,4385.0,alto,Distinction
AAA_2014J_2648611,1513.0,alto,Pass
AAA_2014J_2649800,1249.0,medio,Pass
AAA_2014J_2654628,1368.0,alto,Pass
AAA_2014J_266524,359.0,baixo,Pass
AAA_2014J_2677624,1158.0,medio,Pass
AAA_2014J_2680312,4966.0,alto,Pass
AAA_2014J_268733,3.0,baixo,Fail
AAA_2014J_2688166,680.0,medio,Pass
AAA_2014J_2690062,257.0,baixo,Withdrawn
AAA_2014J_2692514,6661.0,alto,Pass
AAA_2014J_2694788,100.0,baixo,Fail
AAA_2014J_273346,2080.0,alto,Pass
AAA_2014J_274947,251.0,baixo,Withdrawn
AAA_2014J_275674,2090.0,alto,Withdrawn
AAA_2014J_275792,605.0,medio,Pass
AAA_2014J_277123,537.0,medio,Fail
AAA_2014J_277880,12.0,baixo,Withdrawn
AAA_2014J_28061,1590.0,alto,Pass
AAA_2014J_281077,895.0,medio,Pass
AAA_2014J_281636,2682.0,alto,Pass
AAA_2014J_285315,1157.0,medio,Pass
AAA_2014J_287040,2267.0,alto,Pass
AAA_2014J_287204,1845.0,alto,Pass
AAA_2014J_287210,3275.0,alto,Pass
AAA_2014J_288994,134.0,baixo,Fail
AAA_2014J_289449,1336.0,alto,Pass
AAA_2014J_290164,5805.0,alto,Pass
AAA_2014J_292525,311.0,baixo,Pass
AAA_2014J_292775,1859.0,alto,Pass
AAA_2014J_293824,7901.0,alto,Pass
AAA_2014J_294496,1422.0,alto,Pass
AAA_2014J_294655,2219.0,alto,Fail
AAA_2014J_295060,1097.0,medio,Fail
AAA_2014J_295075,1642.0,alto,Pass
AAA_2014J_296424,1695.0,alto,Pass
AAA_2014J_298034,1681.0,alto,Fail
AAA_2014J_298838,1604.0,alto,Pass
AAA_2014J_301967,193.0,baixo,Pass
AAA_2014J_302476,1766.0,alto,Distinction
AAA_2014J_303521,7163.0,alto,Pass
AAA_2014J_303985,381.0,baixo,Pass
